Month,Year,Rainfall,WPI
1,2004,20.9,95.2
2,2004,9.84,90.3
3,2004,14.33,89.2
4,2004,54.81,98.2
5,2004,120.21,100.1
6,2004,221.8,101.9
7,2004,293.62,103.7
8,2004,275.96,107.2
9,2004,150,110.5
10,2004,107.22,107.9
11,2004,25.32,101.6
12,2004,5.06,97.1
1,2005,30.15,93.1
2,2005,34.56,89
3,2005,40.99,88.5
4,2005,45.2,90.9
5,2005,65.05,93.4
6,2005,201.71,95
7,2005,393.3,101
8,2005,230.8,101.9
9,2005,237.58,102
10,2005,117.78,102.3
11,2005,40.25,102.8
12,2005,18.93,98.5
1,2006,12.29,98.6
2,2006,9.34,93.7
3,2006,34.61,96.5
4,2006,37.06,101.1
5,2006,122.76,101.4
6,2006,207.46,103.2
7,2006,339.33,100.7
8,2006,305.18,102.8
9,2006,211.98,111
10,2006,77.23,113.2
11,2006,38.45,110.3
12,2006,11.08,110.6
1,2007,2.43,112
2,2007,34.83,118
3,2007,28.65,115.4
4,2007,42.29,118
5,2007,72.11,117.9
6,2007,270.4,117.9
7,2007,363.05,121.7
8,2007,310.5,126.3
9,2007,270.61,126.2
10,2007,76.21,127.4
11,2007,24,131.2
12,2007,18.95,131.4
1,2008,19.41,130.2
2,2008,17.78,128.6
3,2008,50.4,136.2
4,2008,40.5,133.5
5,2008,69.56,129.7
6,2008,259.4,131.8
7,2008,293.27,138.3
8,2008,307.08,146.3
9,2008,192.55,147.1
10,2008,71.02,148.9
11,2008,33.34,148.4
12,2008,13.02,148.4
1,2009,8.24,148.7
2,2009,10.63,153.8
3,2009,17.09,156.4
4,2009,30.67,164.9
5,2009,79.55,170.1
6,2009,137.04,181.1
7,2009,342.42,206.8
8,2009,220.29,220.3
9,2009,174.61,221.3
10,2009,93.45,224.7
11,2009,61.28,237.2
12,2009,15.37,236.2
1,2010,9.83,262.7
2,2010,12.7,231
3,2010,18.55,220.1
4,2010,49.19,224.3
5,2010,86.26,228.6
6,2010,204.78,225.6
7,2010,358.325,222.8
8,2010,302.26,199.4
9,2010,217.91,203.2
10,2010,94.18,196.9
11,2010,74.48,185.6
12,2010,28.58,181.7
1,2011,14.35,190.4
2,2011,22.45,202.8
3,2011,28.07,199.4
4,2011,48.84,197.9
5,2011,71.55,191.4
6,2011,245.43,183.8
7,2011,324.65,180.5
8,2011,329.4,176.4
9,2011,218.18,183
10,2011,55.4,184.9
11,2011,29.98,181.5
12,2011,12.85,181.4
1,2012,27.62,182.8
2,2012,9.66,178.3
3,2012,12.2,176.5
4,2012,57.91,175.5
5,2012,50.87,181.5
6,2012,184.66,185.7
7,2012,287.23,198.8
8,2012,294.01,215.5
9,2012,231.39,216.8
10,2012,77.68,210.6
11,2012,38.55,206.6
12,2012,13.84,198.7
1,2013,12.1,197.2
2,2013,36.56,198.6
3,2013,17.47,206.7
4,2013,31.6,211.7
5,2013,82.8,211.7
6,2013,297.41,212
7,2013,372.56,208.9
8,2013,264.33,209.9
9,2013,179.24,210.7
10,2013,144.81,211.9
11,2013,27.39,214.7
12,2013,8.81,215.8
1,2014,16.18,214.4
2,2014,25.64,213.2
3,2014,29.44,212.5
4,2014,22.05,213.1
5,2014,91.01,214.5
6,2014,142.26,217
7,2014,309.73,220.5
8,2014,291.225,227.5
9,2014,198.37,232
10,2014,81.15,231.3
11,2014,21.11,233.8
12,2014,16.16,231.1
1,2015,19.05,240.9
2,2015,16.82,249.7
3,2015,51.73,258
4,2015,76.22,264
5,2015,75.52,278.7
6,2015,239.35,321.6
7,2015,269.87,321.6
8,2015,235.71,337.6
9,2015,158.06,357.9
10,2015,61.23,400.4
11,2015,55.56,417.3
12,2015,21.41,421
1,2016,10.25,410.5
2,2016,10.52,390.2
3,2016,27.33,374.3
4,2016,31.91,383.8
5,2016,84.33,393.4
6,2016,214.3,394.9
7,2016,349.77,394.7
8,2016,242.52,379.6
9,2016,198.41,346.8
10,2016,66.06,335.7
11,2016,14.47,331.9
12,2016,23.77,311.6
1,2017,25.45,263.9
2,2017,9.14,245.1
3,2017,33.61,231
4,2017,47.88,127.2
5,2017,77.32,121.6
6,2017,232.57,118.3
7,2017,322.08,114.1
8,2017,277.41,115.4
9,2017,191,118.4
10,2017,103.78,113.8
11,2017,22.35,111.6
12,2017,25.34,112.6
1,2018,16.3,114.9
2,2018,22.5,116.5
3,2018,28,116.6
4,2018,40.52,115.3
5,2018,82.2,115.9
6,2018,155.7,113.2
7,2018,273.8,111.2
8,2018,240.5,110.2
9,2018,132.3,110.8
10,2018,70.33,109.4
11,2018,23.6,114
12,2018,15.4,123.9
1,2019,16.3,144.7
2,2019,22.5,144.9
3,2019,28,145.2
4,2019,40.52,145.3
5,2019,82.2,146.6
6,2019,155.7,146.8
7,2019,273.8,147.2
8,2019,240.5,147.4
9,2019,132.3,148.2
10,2019,70.33,148.8
11,2019,23.6,149.5
12,2019,15.4,149.8
1,2020,16.3,160.9
2,2020,22.5,161.9
3,2020,28,161.2
4,2020,40.52,162.3
5,2020,82.2,162.6
6,2020,155.7,163.8
7,2020,273.8,163.2
8,2020,240.5,164.4
9,2020,132.3,164.2
10,2020,70.33,165.8
11,2020,23.6,165.5
12,2020,15.4,165.9
1,2021,16.3,176.3
2,2021,22.5,176.6
3,2021,28,176.2
4,2021,40.52,176.3
5,2021,82.2,176.6
6,2021,155.7,176.8
7,2021,273.8,177.2
8,2021,240.5,177.4
9,2021,132.3,177.2
10,2021,70.33,177.8
11,2021,23.6,177.5
12,2021,15.4,177.6
