Month,Year,Rainfall,WPI
1,2004,20.9,102.5
2,2004,9.84,106.8
3,2004,14.33,117.2
4,2004,54.81,96.2
5,2004,120.21,96.5
6,2004,221.8,94.5
7,2004,293.62,98.5
8,2004,275.96,99.5
9,2004,150,98.1
10,2004,107.22,98.9
11,2004,25.32,99.9
12,2004,5.06,101.8
1,2005,30.15,103.7
2,2005,34.56,105.1
3,2005,40.99,107.6
4,2005,45.2,109.4
5,2005,65.05,109.7
6,2005,201.71,107.2
7,2005,393.3,108
8,2005,230.8,109.7
9,2005,237.58,110.6
10,2005,117.78,108.7
11,2005,40.25,108.7
12,2005,18.93,111.4
1,2006,12.29,113.4
2,2006,9.34,113.5
3,2006,34.61,115.4
4,2006,37.06,117.6
5,2006,122.76,121
6,2006,207.46,118.9
7,2006,339.33,119.1
8,2006,305.18,121
9,2006,211.98,121.4
10,2006,77.23,118.7
11,2006,38.45,125.5
12,2006,11.08,126.1
1,2007,2.43,127.5
2,2007,34.83,125
3,2007,28.65,127.7	
4,2007,42.29,132.3
5,2007,72.11,132.7
6,2007,270.4,129.3
7,2007,363.05,128.6
8,2007,310.5,130.3
9,2007,270.61,124
10,2007,76.21,123.3
11,2007,24,127.7
12,2007,18.95,127.2
1,2008,19.41,127.3
2,2008,17.78,125.8
3,2008,50.4,127.7
4,2008,40.5,128.9
5,2008,69.56,128.8
6,2008,259.4,131.2
7,2008,293.27,133.4
8,2008,307.08,138.5
9,2008,192.55,138.5
10,2008,71.02,140.4
11,2008,33.34,141.9
12,2008,13.02,141.9
1,2009,8.24,143.6
2,2009,10.63,148.6
3,2009,17.09,154.1
4,2009,30.67,161.7
5,2009,79.55,165.5
6,2009,137.04,160.2
7,2009,342.42,159.9
8,2009,220.29,165
9,2009,174.61,166.8
10,2009,93.45,163.4
11,2009,61.28,171.7
12,2009,15.37,177.9
1,2010,9.83,177.8
2,2010,12.7,173.7
3,2010,18.55,173.2
4,2010,49.19,172.4
5,2010,86.26,171.9
6,2010,204.78,176.3
7,2010,358.325,178.1
8,2010,302.26,182.6
9,2010,217.91,177.8
10,2010,94.18,170.3
11,2010,74.48,171
12,2010,28.58,174.6
1,2011,14.35,177.2
2,2011,22.45,176.5
3,2011,28.07,178.3
4,2011,48.84,188.6
5,2011,71.55,198.4
6,2011,245.43,189.2
7,2011,324.65,193.3
8,2011,329.4,194.9
9,2011,218.18,194.2
10,2011,55.4,184.5
11,2011,29.98,184.1
12,2011,12.85,187.2
1,2012,27.62,200.1
2,2012,9.66,199.9
3,2012,12.2,204.1
4,2012,57.91,209.5
5,2012,50.87,210.5
6,2012,184.66,209.7
7,2012,287.23,223.7
8,2012,294.01,235.5
9,2012,231.39,235.6
10,2012,77.68,221
11,2012,38.55,232.3
12,2012,13.84,252.2
1,2013,12.1,256.5
2,2013,36.56,257.5
3,2013,17.47,257.7
4,2013,31.6,263.7
5,2013,82.8,267
6,2013,297.41,265.4
7,2013,372.56,261.9
8,2013,264.33,252.2
9,2013,179.24,252.4
10,2013,144.81,251.7
11,2013,27.39,251
12,2013,8.81,252.5
1,2014,16.18,255.2
2,2014,25.64,252.9
3,2014,29.44,257.2
4,2014,22.05,259.1
5,2014,91.01,258.6
6,2014,142.26,257.1
7,2014,309.73,258.7
8,2014,291.225,256.4
9,2014,198.37,258.6
10,2014,81.15,252.4
11,2014,21.11,242.8
12,2014,16.16,237.4
1,2015,19.05,242.4
2,2015,16.82,240
3,2015,51.73,244.4
4,2015,76.22,247.2
5,2015,75.52,248.6
6,2015,239.35,244.7
7,2015,269.87,242.9
8,2015,235.71,248.7
9,2015,158.06,254.8
10,2015,61.23,255.7
11,2015,55.56,261
12,2015,21.41,270
1,2016,10.25,279.1
2,2016,10.52,283.6
3,2016,27.33,292.9
4,2016,31.91,306.8
5,2016,84.33,318.1
6,2016,214.3,314.2
7,2016,349.77,306.9
8,2016,242.52,305.6
9,2016,198.41,297.6
10,2016,66.06,290.5
11,2016,14.47,298
12,2016,23.77,303.1
1,2017,25.45,298.7
2,2017,9.14,300.2
3,2017,33.61,305.1
4,2017,47.88,153.8
5,2017,77.32,153.2
6,2017,232.57,149.7
7,2017,322.08,145.4
8,2017,277.41,143.8
9,2017,191,139.4
10,2017,103.78,132.9
11,2017,22.35,130.2
12,2017,25.34,133.9
1,2018,16.3,131.7
2,2018,22.5,127.9
3,2018,28,126.8
4,2018,40.52,127
5,2018,82.2,128.1
6,2018,155.7,129.5
7,2018,273.8,132.9
8,2018,240.5,138.2
9,2018,132.3,141.7
10,2018,70.33,148.6
11,2018,23.6,161.7
12,2018,15.4,165.1
1,2019,16.3,189.3
2,2019,22.5,189.9
3,2019,28,189.8
4,2019,40.52,190
5,2019,82.2,190.1
6,2019,155.7,190.5
7,2019,273.8,191.9
8,2019,240.5,192.2
9,2019,132.3,192.7
10,2019,70.33,193.6
11,2019,23.6,193.7
12,2019,15.4,193.6
1,2020,16.3,173.7
2,2020,22.5,173.9
3,2020,28,172.8
4,2020,40.52,172
5,2020,82.2,172.1
6,2020,155.7,171.5
7,2020,273.8,171.9
8,2020,240.5,171.2
9,2020,132.3,167.7
10,2020,70.33,165.6
11,2020,23.6,163.7
12,2020,15.4,161.1
1,2021,16.3,157.7
2,2021,22.5,158.9
3,2021,28,159.8
4,2021,40.52,160
5,2021,82.2,162.1
6,2021,155.7,161.5
7,2021,273.8,162.9
8,2021,240.5,163.2
9,2021,132.3,164.7
10,2021,70.33,165.6
11,2021,23.6,166.7
12,2021,15.4,167.1
