Month,Year,Rainfall,WPI
1,2004,20.9,105.6
2,2004,9.84,103.5
3,2004,14.33,78.3
4,2004,54.81,88.4
5,2004,120.21,90.2
6,2004,221.8,97.3
7,2004,293.62,96.1
8,2004,275.96,99.3
9,2004,150,97.6
10,2004,107.22,102.9
11,2004,25.32,107.3
12,2004,5.06,108.8
1,2005,30.15,107.1
2,2005,34.56,108
3,2005,40.99,97.9
4,2005,45.2,92.9
5,2005,65.05,88.4
6,2005,201.71,86
7,2005,393.3,82.5
8,2005,230.8,81.6
9,2005,237.58,79.6
10,2005,117.78,82.3
11,2005,40.25,82
12,2005,18.93,79.8
1,2006,12.29,78.2
2,2006,9.34,79.6
3,2006,34.61,74
4,2006,37.06,72
5,2006,122.76,70.6
6,2006,207.46,70.1
7,2006,339.33,68.7
8,2006,305.18,72.5
9,2006,211.98,73.8
10,2006,77.23,76.3
11,2006,38.45,74.7
12,2006,11.08,74.3
1,2007,2.43,72.4
2,2007,34.83,71.3
3,2007,28.65,65.2
4,2007,42.29,65.8
5,2007,72.11,65.8
6,2007,270.4,64
7,2007,363.05,66.5
8,2007,310.5,66
9,2007,270.61,62.3
10,2007,76.21,61.1
11,2007,24,63.5
12,2007,18.95,68.2
1,2008,19.41,69.8
2,2008,17.78,70.5
3,2008,50.4,75.8
4,2008,40.5,78.8
5,2008,69.56,78.8
6,2008,259.4,83.1
7,2008,293.27,90.2
8,2008,307.08,87.8
9,2008,192.55,88.4
10,2008,71.02,85.7
11,2008,33.34,84.5
12,2008,13.02,83.6
1,2009,8.24,80.7
2,2009,10.63,76.4
3,2009,17.09,74.3
4,2009,30.67,73.2
5,2009,79.55,69.8
6,2009,137.04,66.5
7,2009,342.42,68.4
8,2009,220.29,70.1
9,2009,174.61,68.5
10,2009,93.45,67.4
11,2009,61.28,68.5
12,2009,15.37,74
1,2010,9.83,73.9
2,2010,12.7,74.8
3,2010,18.55,72.1
4,2010,49.19,74
5,2010,86.26,72.2
6,2010,204.78,73.7
7,2010,358.325,75
8,2010,302.26,79
9,2010,217.91,85.1
10,2010,94.18,95.1
11,2010,74.48,100.1
12,2010,28.58,104.1
1,2011,14.35,118.7
2,2011,22.45,121.9
3,2011,28.07,116.1
4,2011,48.84,121.7
5,2011,71.55,125
6,2011,245.43,123.6
7,2011,324.65,116.5
8,2011,329.4,119.7
9,2011,218.18,114.8
10,2011,55.4,111
11,2011,29.98,110.9
12,2011,12.85,109.4
1,2012,27.62,105.1
2,2012,9.66,97.1
3,2012,12.2,100.3
4,2012,57.91,95.3
5,2012,50.87,90.2
6,2012,184.66,90.3
7,2012,287.23,91.9
8,2012,294.01,90.3
9,2012,231.39,89.9
10,2012,77.68,88.4
11,2012,38.55,90.5
12,2012,13.84,95.4
1,2013,12.1,97.8
2,2013,36.56,95.6
3,2013,17.47,92.7
4,2013,31.6,92.8
5,2013,82.8,90.7
6,2013,297.41,94.9
7,2013,372.56,97.3
8,2013,264.33,102.2
9,2013,179.24,108.9
10,2013,144.81,122.1
11,2013,27.39,132.1
12,2013,8.81,133.6
1,2014,16.18,138.4
2,2014,25.64,143.9
3,2014,29.44,151.7
4,2014,22.05,173.5
5,2014,91.01,185.6
6,2014,142.26,180.3
7,2014,309.73,187.1
8,2014,291.225,213.5
9,2014,198.37,206.9
10,2014,81.15,193
11,2014,21.11,184.5
12,2014,16.16,173.9
1,2015,19.05,180
2,2015,16.82,176.8
3,2015,51.73,179.4
4,2015,76.22,178.1
5,2015,75.52,171.9
6,2015,239.35,160.9
7,2015,269.87,148
8,2015,235.71,159.5
9,2015,158.06,154.7
10,2015,61.23,146.7
11,2015,55.56,141.8
12,2015,21.41,139.1
1,2016,10.25,128
2,2016,10.52,125
3,2016,27.33,115.1
4,2016,31.91,116.7
5,2016,84.33,113.5
6,2016,214.3,110.7
7,2016,349.77,109.8
8,2016,242.52,117.7
9,2016,198.41,120.2
10,2016,66.06,120.8
11,2016,14.47,122.3
12,2016,23.77,130.1
1,2017,25.45,139.6
2,2017,9.14,151.6
3,2017,33.61,145.8
4,2017,47.88,134.6
5,2017,77.32,132.1
6,2017,232.57,145.8
7,2017,322.08,152
8,2017,277.41,168.5
9,2017,191,188.6
10,2017,103.78,189.8
11,2017,22.35,195.4
12,2017,25.34,210.1
1,2018,16.3,215.5
2,2018,22.5,214.4
3,2018,28,209.4
4,2018,40.52,215.3
5,2018,82.2,226.1
6,2018,155.7,222.2
7,2018,273.8,218.1
8,2018,240.5,218.7
9,2018,132.3,212.2
10,2018,70.33,199
11,2018,23.6,191.2
12,2018,15.4,198.3
1,2019,16.3,194.0
2,2019,22.5,194.6
3,2019,28,193.8
4,2019,40.52,192.9
5,2019,82.2,192.8
6,2019,155.7,191.7
7,2019,273.8,191
8,2019,240.5,190.3
9,2019,132.3,190.7
10,2019,70.33,189.2
11,2019,23.6,189.5
12,2019,15.4,189.8
1,2020,16.3,187.6
2,2020,22.5,188
3,2020,28,188.8
4,2020,40.52,189.9
5,2020,82.2,189.8
6,2020,155.7,190.7
7,2020,273.8,191
8,2020,240.5,192
9,2020,132.3,192.7
10,2020,70.33,193.2
11,2020,23.6,194.5
12,2020,15.4,194.8
1,2021,16.3,211.2
2,2021,22.5,211
3,2021,28,210.8
4,2021,40.52,210.9
5,2021,82.2,210.8
6,2021,155.7,210.7
7,2021,273.8,209
8,2021,240.5,209
9,2021,132.3,209.7
10,2021,70.33,209.8
11,2021,23.6,209.5
12,2021,15.4,209.8
