Month,Year,Rainfall,WPI
1,2004,20.9,89.5
2,2004,9.84,85.4
3,2004,14.33,86.2
4,2004,54.81,107.8
5,2004,120.21,106
6,2004,221.8,106.5
7,2004,293.62,107.7
8,2004,275.96,110.1
9,2004,150,108
10,2004,107.22,105.2
11,2004,25.32,97
12,2004,5.06,92.8
1,2005,30.15,88.3
2,2005,34.56,84.7
3,2005,40.99,84.2
4,2005,45.2,84.7
5,2005,65.05,84.5
6,2005,201.71,84.6
7,2005,393.3,85.6
8,2005,230.8,85.2
9,2005,237.58,85.3
10,2005,117.78,87.4
11,2005,40.25,85.6
12,2005,18.93,87.4
1,2006,12.29,89.6
2,2006,9.34,89.1
3,2006,34.61,89.2
4,2006,37.06,89.7
5,2006,122.76,92.9
6,2006,207.46,94.1
7,2006,339.33,94.4
8,2006,305.18,97.5
9,2006,211.98,100.7
10,2006,77.23,96.8
11,2006,38.45,96
12,2006,11.08,97
1,2007,2.43,97.4
2,2007,34.83,100.2
3,2007,28.65,103
4,2007,42.29,106.1
5,2007,72.11,107.6
6,2007,270.4,108.5
7,2007,363.05,109.9
8,2007,310.5,110.3
9,2007,270.61,110.8
10,2007,76.21,112.5
11,2007,24,112.3
12,2007,18.95,112.9
1,2008,19.41,116
2,2008,17.78,118.7
3,2008,50.4,121.4
4,2008,40.5,120.8
5,2008,69.56,123.7
6,2008,259.4,130.1
7,2008,293.27,133.9
8,2008,307.08,134.9
9,2008,192.55,131.8
10,2008,71.02,126.5
11,2008,33.34,122.4
12,2008,13.02,119.7
1,2009,8.24,120.8
2,2009,10.63,122.1
3,2009,17.09,125.1
4,2009,30.67,126.3
5,2009,79.55,129
6,2009,137.04,136.6
7,2009,342.42,137.8
8,2009,220.29,140.3
9,2009,174.61,136.3
10,2009,93.45,128.4
11,2009,61.28,124.2
12,2009,15.37,123.6
1,2010,9.83,137.2
2,2010,12.7,135.3
3,2010,18.55,132.3
4,2010,49.19,130.7
5,2010,86.26,128.6
6,2010,204.78,130
7,2010,358.325,130.8
8,2010,302.26,135.6
9,2010,217.91,135.9
10,2010,94.18,132.3
11,2010,74.48,132.7
12,2010,28.58,132.2
1,2011,14.35,133.4
2,2011,22.45,134.9
3,2011,28.07,136.1
4,2011,48.84,139.9
5,2011,71.55,140.3
6,2011,245.43,140.6
7,2011,324.65,142.7
8,2011,329.4,147.1
9,2011,218.18,148.2
10,2011,55.4,148
11,2011,29.98,148.7
12,2011,12.85,140
1,2012,27.62,140.2
2,2012,9.66,142.1
3,2012,12.2,142.4
4,2012,57.91,146.1
5,2012,50.87,146.8
6,2012,184.66,146.3
7,2012,287.23,157.5
8,2012,294.01,171.5
9,2012,231.39,172.8
10,2012,77.68,174.6
11,2012,38.55,172.6
12,2012,13.84,165.3
1,2013,12.1,160.7
2,2013,36.56,164
3,2013,17.47,167.2
4,2013,31.6,169.5
5,2013,82.8,168.1
6,2013,297.41,173
7,2013,372.56,180.4
8,2013,264.33,183.5
9,2013,179.24,183.9
10,2013,144.81,184.4
11,2013,27.39,185.3
12,2013,8.81,178
1,2014,16.18,175.8
2,2014,25.64,175.7
3,2014,29.44,173
4,2014,22.05,169.8
5,2014,91.01,177.8
6,2014,142.26,180.8
7,2014,309.73,182.7
8,2014,291.225,188.5
9,2014,198.37,183.3
10,2014,81.15,181.1
11,2014,21.11,175.7
12,2014,16.16,165.6
1,2015,19.05,155.7
2,2015,16.82,154
3,2015,51.73,158.8
4,2015,76.22,168.6
5,2015,75.52,173.7
6,2015,239.35,181.4
7,2015,269.87,184.4
8,2015,235.71,183.8
9,2015,158.06,206.1
10,2015,61.23,215.5
11,2015,55.56,205.8
12,2015,21.41,202.7
1,2016,10.25,210.5
2,2016,10.52,211.5
3,2016,27.33,216.7
4,2016,31.91,219.7
5,2016,84.33,221.4
6,2016,214.3,230
7,2016,349.77,233.5
8,2016,242.52,235.1
9,2016,198.41,230.7
10,2016,66.06,232.9
11,2016,14.47,228.9
12,2016,23.77,229.2
1,2017,25.45,222.8
2,2017,9.14,224.2
3,2017,33.61,224.3
4,2017,47.88,154.5
5,2017,77.32,148.1
6,2017,232.57,145.4
7,2017,322.08,143.5
8,2017,277.41,142.6
9,2017,191,142.9
10,2017,103.78,138.9
11,2017,22.35,141.4
12,2017,25.34,144.8
1,2018,16.3,143.4
2,2018,22.5,141.9
3,2018,28,137.7
4,2018,40.52,134.4
5,2018,82.2,133.9
6,2018,155.7,136.6
7,2018,273.8,138.5
8,2018,240.5,140.3
9,2018,132.3,141.1
10,2018,70.33,141.8
11,2018,23.6,139.5
12,2018,15.4,140.2
1,2019,16.3,117.4
2,2019,22.5,117.9
3,2019,28,117.7
4,2019,40.52,117.4
5,2019,82.2,117.9
6,2019,155.7,117.6
7,2019,273.8,116.5
8,2019,240.5,116.3
9,2019,132.3,116.1
10,2019,70.33,116.8
11,2019,23.6,116.5
12,2019,15.4,116.2
1,2020,16.3,103.4
2,2020,22.5,103.9
3,2020,28,103.7
4,2020,40.52,104.4
5,2020,82.2,104.9
6,2020,155.7,104.6
7,2020,273.8,104.5
8,2020,240.5,104.3
9,2020,132.3,104.1
10,2020,70.33,104.8
11,2020,23.6,105.5
12,2020,15.4,105.2
1,2021,16.3,127.4
2,2021,22.5,127.8
3,2021,28,129.7
4,2021,40.52,130.4
5,2021,82.2,130.9
6,2021,155.7,132.6
7,2021,273.8,138.5
8,2021,240.5,140.3
9,2021,132.3,141.1
10,2021,70.33,141.8
11,2021,23.6,139.5
12,2021,15.4,142.2
