Month,Year,Rainfall,WPI
1,2004,20.9,97.2
2,2004,9.84,99.6
3,2004,14.33,98.5
4,2004,54.81,102.3
5,2004,120.21,100.8
6,2004,221.8,101.2
7,2004,293.62,101.1
8,2004,275.96,102.2
9,2004,150,102
10,2004,107.22,100.4
11,2004,25.32,98.5
12,2004,5.06,97.4
1,2005,30.15,98.2
2,2005,34.56,97.7
3,2005,40.99,98
4,2005,45.2,98.4
5,2005,65.05,98.5
6,2005,201.71,102.1
7,2005,393.3,108.1
8,2005,230.8,110.5
9,2005,237.58,112.9
10,2005,117.78,114
11,2005,40.25,117.4
12,2005,18.93,125.6
1,2006,12.29,126.5
2,2006,9.34,125.2
3,2006,34.61,128.1
4,2006,37.06,127.6
5,2006,122.76,130.8
6,2006,207.46,138
7,2006,339.33,141.1
8,2006,305.18,144.5
9,2006,211.98,158.2
10,2006,77.23,180.7
11,2006,38.45,183.4
12,2006,11.08,182
1,2007,2.43,171.5
2,2007,34.83,166.5
3,2007,28.65,149.5
4,2007,42.29,150.3
5,2007,72.11,147
6,2007,270.4,146.2
7,2007,363.05,150.4
8,2007,310.5,150.1
9,2007,270.61,149.4
10,2007,76.21,150.7
11,2007,24,151.2
12,2007,18.95,148.1
1,2008,19.41,142.3
2,2008,17.78,146.7
3,2008,50.4,155.4
4,2008,40.5,153.3
5,2008,69.56,150.1
6,2008,259.4,152.5
7,2008,293.27,154.6
8,2008,307.08,159.6
9,2008,192.55,155.2
10,2008,71.02,157.4
11,2008,33.34,157.3
12,2008,13.02,155.4
1,2009,8.24,150.3
2,2009,10.63,151.1
3,2009,17.09,148.7
4,2009,30.67,150.6
5,2009,79.55,151
6,2009,137.04,147.9
7,2009,342.42,154.2
8,2009,220.29,155.9
9,2009,174.61,152.6
10,2009,93.45,152.3
11,2009,61.28,159.2
12,2009,15.37,156.4
1,2010,9.83,155.1
2,2010,12.7,146.4
3,2010,18.55,144.3
4,2010,49.19,143.9
5,2010,86.26,144.1
6,2010,204.78,143.2
7,2010,358.325,145.2
8,2010,302.26,149.2
9,2010,217.91,146.6
10,2010,94.18,149.5
11,2010,74.48,151.8
12,2010,28.58,154.9
1,2011,14.35,155.4
2,2011,22.45,159.2
3,2011,28.07,156.6
4,2011,48.84,152.5
5,2011,71.55,151.9
6,2011,245.43,157.2
7,2011,324.65,169.1
8,2011,329.4,178.8
9,2011,218.18,193.8
10,2011,55.4,215.4
11,2011,29.98,224.1
12,2011,12.85,222.5
1,2012,27.62,219.7
2,2012,9.66,217.8
3,2012,12.2,222.5
4,2012,57.91,224.7
5,2012,50.87,237.5
6,2012,184.66,251
7,2012,287.23,277.6
8,2012,294.01,294
9,2012,231.39,293.4
10,2012,77.68,288.6
11,2012,38.55,290.3
12,2012,13.84,276.7
1,2013,12.1,269.1
2,2013,36.56,253.5
3,2013,17.47,239.3
4,2013,31.6,234.8
5,2013,82.8,232.2
6,2013,297.41,227.9
7,2013,372.56,222.6
8,2013,264.33,214.1
9,2013,179.24,218.5
10,2013,144.81,219.5
11,2013,27.39,216.2
12,2013,8.81,212.2
1,2014,16.18,208
2,2014,25.64,199.1
3,2014,29.44,202.3
4,2014,22.05,201.3
5,2014,91.01,200.6
6,2014,142.26,196.7
7,2014,309.73,190.8
8,2014,291.225,194.3
9,2014,198.37,195.4
10,2014,81.15,192.5
11,2014,21.11,191.3
12,2014,16.16,193.8
1,2015,19.05,203.9
2,2015,16.82,205.5
3,2015,51.73,209.3
4,2015,76.22,218.7
5,2015,75.52,243.6
6,2015,239.35,265.4
7,2015,269.87,270.5
8,2015,235.71,277.1
9,2015,158.06,282.6
10,2015,61.23,303.4
11,2015,55.56,311.9
12,2015,21.41,311.3
1,2016,10.25,301.9
2,2016,10.52,288.9
3,2016,27.33,282.1
4,2016,31.91,302.9
5,2016,84.33,332.2
6,2016,214.3,353.4
7,2016,349.77,440.1
8,2016,242.52,455
9,2016,198.41,451.3
10,2016,66.06,532.3
11,2016,14.47,582.8
12,2016,23.77,566.8
1,2017,25.45,488.9
2,2017,9.14,419.4
3,2017,33.61,374.9
4,2017,47.88,183.4
5,2017,77.32,179.3
6,2017,232.57,174
7,2017,322.08,176
8,2017,277.41,176.7
9,2017,191,186.9
10,2017,103.78,177.9
11,2017,22.35,165
12,2017,25.34,152.9
1,2018,16.3,140.8
2,2018,22.5,134.7
3,2018,28,130.3
4,2018,40.52,127
5,2018,82.2,124.3
6,2018,155.7,121.6
7,2018,273.8,128.3
8,2018,240.5,135.7
9,2018,132.3,132.5
10,2018,70.33,135.7
11,2018,23.6,140.8
12,2018,15.4,146.7
1,2019,16.3,145.8
2,2019,22.5,145.7
3,2019,28,145.3
4,2019,40.52,145
5,2019,82.2,145.3
6,2019,155.7,145.6
7,2019,273.8,145.3
8,2019,240.5,145.7
9,2019,132.3,145.5
10,2019,70.33,145.7
11,2019,23.6,145.8
12,2019,15.4,145.1
1,2020,16.3,149.8
2,2020,22.5,149.7
3,2020,28,149.3
4,2020,40.52,150
5,2020,82.2,150.3
6,2020,155.7,150.6
7,2020,273.8,151.3
8,2020,240.5,151.7
9,2020,132.3,152.5
10,2020,70.33,152.7
11,2020,23.6,153.8
12,2020,15.4,153.7
1,2021,16.3,165.8
2,2021,22.5,165.7
3,2021,28,165.3
4,2021,40.52,166
5,2021,82.2,166.3
6,2021,155.7,166.6
7,2021,273.8,166.3
8,2021,240.5,167.7
9,2021,132.3,167.5
10,2021,70.33,167.7
11,2021,23.6,167.8
12,2021,15.4,167.7
