Month,Year,Rainfall,WPI
1,2004,20.9,100.2
2,2004,9.84,101.6
3,2004,14.33,96.2
4,2004,54.81,100.1
5,2004,120.21,101
6,2004,221.8,100.1
7,2004,293.62,99.1
8,2004,275.96,100.2
9,2004,150,103.4
10,2004,107.22,102.4
11,2004,25.32,100
12,2004,5.06,97.7
1,2005,30.15,99.9
2,2005,34.56,101.2
3,2005,40.99,94.6
4,2005,45.2,96
5,2005,65.05,96.3
6,2005,201.71,97.1
7,2005,393.3,102.1
8,2005,230.8,98.7
9,2005,237.58,99.9
10,2005,117.78,101.8
11,2005,40.25,103.3
12,2005,18.93,91.5
1,2006,12.29,89.8
2,2006,9.34,91.6
3,2006,34.61,93.5
4,2006,37.06,95.4
5,2006,122.76,98.8
6,2006,207.46,100.4
7,2006,339.33,101.7
8,2006,305.18,101.4
9,2006,211.98,103
10,2006,77.23,104
11,2006,38.45,110.3
12,2006,11.08,116.4
1,2007,2.43,122.5
2,2007,34.83,128.2
3,2007,28.65,132.2
4,2007,42.29,133.9
5,2007,72.11,136.6
6,2007,270.4,141.9
7,2007,363.05,146.5
8,2007,310.5,145.5
9,2007,270.61,145.1
10,2007,76.21,140.1
11,2007,24,134.1
12,2007,18.95,136.1
1,2008,19.41,136.7
2,2008,17.78,140.9
3,2008,50.4,146.5
4,2008,40.5,146.4
5,2008,69.56,150.6
6,2008,259.4,155.1
7,2008,293.27,149.2
8,2008,307.08,150.4
9,2008,192.55,139.5
10,2008,71.02,139.9
11,2008,33.34,137.8
12,2008,13.02,141.7
1,2009,8.24,142.1
2,2009,10.63,137.8
3,2009,17.09,141.3
4,2009,30.67,146.4
5,2009,79.55,146
6,2009,137.04,145.1
7,2009,342.42,140.2
8,2009,220.29,141.4
9,2009,174.61,144.6
10,2009,93.45,141.5
11,2009,61.28,152
12,2009,15.37,156
1,2010,9.83,153.7
2,2010,12.7,156
3,2010,18.55,152.9
4,2010,49.19,162
5,2010,86.26,163.4
6,2010,204.78,163.4
7,2010,358.325,166.3
8,2010,302.26,173.5
9,2010,217.91,178.4
10,2010,94.18,172.1
11,2010,74.48,158.6
12,2010,28.58,157.6
1,2011,14.35,154.3
2,2011,22.45,156.9
3,2011,28.07,171.3
4,2011,48.84,183.6
5,2011,71.55,188.8
6,2011,245.43,191.5
7,2011,324.65,194.4
8,2011,329.4,203.3
9,2011,218.18,205
10,2011,55.4,196.9
11,2011,29.98,191.3
12,2011,12.85,192.4
1,2012,27.62,208.4
2,2012,9.66,214
3,2012,12.2,230.6
4,2012,57.91,230.9
5,2012,50.87,234.9
6,2012,184.66,232.7
7,2012,287.23,229.9
8,2012,294.01,239.4
9,2012,231.39,243
10,2012,77.68,241.3
11,2012,38.55,252.9
12,2012,13.84,253.7
1,2013,12.1,272.5
2,2013,36.56,265.9
3,2013,17.47,265.9
4,2013,31.6,269.8
5,2013,82.8,260.2
6,2013,297.41,243.1
7,2013,372.56,229.2
8,2013,264.33,217.9
9,2013,179.24,210.3
10,2013,144.81,215.3
11,2013,27.39,203.5
12,2013,8.81,194.1
1,2014,16.18,193.7
2,2014,25.64,195.5
3,2014,29.44,197
4,2014,22.05,199.8
5,2014,91.01,202.9
6,2014,142.26,206.4
7,2014,309.73,204.7
8,2014,291.225,208.5
9,2014,198.37,220.7
10,2014,81.15,217.3
11,2014,21.11,212.4
12,2014,16.16,205.8
1,2015,19.05,207.1
2,2015,16.82,215
3,2015,51.73,222.7
4,2015,76.22,232.8
5,2015,75.52,245.6
6,2015,239.35,257.9
7,2015,269.87,250.2
8,2015,235.71,254
9,2015,158.06,263.3
10,2015,61.23,240.5
11,2015,55.56,231.5
12,2015,21.41,244.2
1,2016,10.25,241.2
2,2016,10.52,236.9
3,2016,27.33,255.9
4,2016,31.91,272.5
5,2016,84.33,280.8
6,2016,214.3,284
7,2016,349.77,285.9
8,2016,242.52,287.9
9,2016,198.41,270.8
10,2016,66.06,249
11,2016,14.47,236.2
12,2016,23.77,249.3
1,2017,25.45,251.3
2,2017,9.14,248.7
3,2017,33.61,261.8
4,2017,47.88,139.8
5,2017,77.32,136.2
6,2017,232.57,133.2
7,2017,322.08,127.6
8,2017,277.41,124.3
9,2017,191,118
10,2017,103.78,116.9
11,2017,22.35,117
12,2017,25.34,113.9
1,2018,16.3,113.4
2,2018,22.5,114.9
3,2018,28,114.3
4,2018,40.52,109.6
5,2018,82.2,107.5
6,2018,155.7,109.7
7,2018,273.8,112.4
8,2018,240.5,119.9
9,2018,132.3,118.2
10,2018,70.33,118.8
11,2018,23.6,125.3
12,2018,15.4,122.6
1,2019,16.3,137.4
2,2019,22.5,137.9
3,2019,28,138.3
4,2019,40.52,138.6
5,2019,82.2,138.5
6,2019,155.7,139.7
7,2019,273.8,139.4
8,2019,240.5,140.9
9,2019,132.3,140.2
10,2019,70.33,141.8
11,2019,23.6,142.3
12,2019,15.4,142.6
1,2020,16.3,150.4
2,2020,22.5,150.9
3,2020,28,150.3
4,2020,40.52,151.6
5,2020,82.2,151.5
6,2020,155.7,152.7
7,2020,273.8,152.4
8,2020,240.5,152.9
9,2020,132.3,153.2
10,2020,70.33,153.8
11,2020,23.6,154.3
12,2020,15.4,154.6
1,2021,16.3,163.4
2,2021,22.5,163.9
3,2021,28,163.3
4,2021,40.52,163.6
5,2021,82.2,163.5
6,2021,155.7,164.7
7,2021,273.8,164.4
8,2021,240.5,164.9
9,2021,132.3,164.2
10,2021,70.33,164.8
11,2021,23.6,164.3
12,2021,15.4,164.6
