Month,Year,Rainfall,WPI
1,2004,20.9,101
2,2004,9.84,105
3,2004,14.33,101.5
4,2004,54.81,93.4
5,2004,120.21,99.1
6,2004,221.8,98.6
7,2004,293.62,99.9
8,2004,275.96,104.6
9,2004,150,98.6
10,2004,107.22,99
11,2004,25.32,100.4
12,2004,5.06,103.4
1,2005,30.15,102
2,2005,34.56,101
3,2005,40.99,100.3
4,2005,45.2,99.5
5,2005,65.05,106
6,2005,201.71,112.7
7,2005,393.3,115.6
8,2005,230.8,109.8
9,2005,237.58,105.8
10,2005,117.78,108
11,2005,40.25,105.4
12,2005,18.93,106.6
1,2006,12.29,113.7
2,2006,9.34,115.6
3,2006,34.61,115.7
4,2006,37.06,120.5
5,2006,122.76,126.5
6,2006,207.46,130.1
7,2006,339.33,126.6
8,2006,305.18,115
9,2006,211.98,118.8
10,2006,77.23,119.8
11,2006,38.45,121.5
12,2006,11.08,126.1
1,2007,2.43,129.1
2,2007,34.83,130.9
3,2007,28.65,130.6
4,2007,42.29,131.9
5,2007,72.11,142.6
6,2007,270.4,151.8
7,2007,363.05,149.5
8,2007,310.5,148.8
9,2007,270.61,147.8
10,2007,76.21,149.1
11,2007,24,149.6
12,2007,18.95,152.3
1,2008,19.41,151
2,2008,17.78,150.3
3,2008,50.4,151.2
4,2008,40.5,153.4
5,2008,69.56,154.7
6,2008,259.4,154.6
7,2008,293.27,151.3
8,2008,307.08,152.4
9,2008,192.55,151.8
10,2008,71.02,151.1
11,2008,33.34,147.8
12,2008,13.02,147.3
1,2009,8.24,148.1
2,2009,10.63,155.1
3,2009,17.09,146.7
4,2009,30.67,151.9
5,2009,79.55,160.8
6,2009,137.04,165.6
7,2009,342.42,168.9
8,2009,220.29,172.9
9,2009,174.61,169.4
10,2009,93.45,168.5
11,2009,61.28,167.7
12,2009,15.37,172.3
1,2010,9.83,173.6
2,2010,12.7,176.8
3,2010,18.55,174.8
4,2010,49.19,172.3
5,2010,86.26,177.1
6,2010,204.78,183.5
7,2010,358.325,183.2
8,2010,302.26,186.7
9,2010,217.91,184.8
10,2010,94.18,187.3
11,2010,74.48,187.4
12,2010,28.58,192.1
1,2011,14.35,200.9
2,2011,22.45,213
3,2011,28.07,206.2
4,2011,48.84,218.5
5,2011,71.55,237.4
6,2011,245.43,256.8
7,2011,324.65,261.3
8,2011,329.4,261.7
9,2011,218.18,256.9
10,2011,55.4,248.7
11,2011,29.98,246.1
12,2011,12.85,247.9
1,2012,27.62,259.4
2,2012,9.66,250.8
3,2012,12.2,237.1
4,2012,57.91,236.8
5,2012,50.87,240.8
6,2012,184.66,235.3
7,2012,287.23,230.8
8,2012,294.01,236.5
9,2012,231.39,234.9
10,2012,77.68,234.6
11,2012,38.55,225.8
12,2012,13.84,232.3
1,2013,12.1,233.9
2,2013,36.56,237.3
3,2013,17.47,250.7
4,2013,31.6,253.2
5,2013,82.8,251.6
6,2013,297.41,246.9
7,2013,372.56,245.7
8,2013,264.33,241.2
9,2013,179.24,241.6
10,2013,144.81,241.5
11,2013,27.39,247.1
12,2013,8.81,252.8
1,2014,16.18,252.6
2,2014,25.64,259.1
3,2014,29.44,280.9
4,2014,22.05,284.1
5,2014,91.01,282.1
6,2014,142.26,280.4
7,2014,309.73,292.7
8,2014,291.225,299.4
9,2014,198.37,295.5
10,2014,81.15,293.3
11,2014,21.11,290.7
12,2014,16.16,290.7
1,2015,19.05,284.4
2,2015,16.82,288.3
3,2015,51.73,280.7
4,2015,76.22,282.6
5,2015,75.52,286
6,2015,239.35,283.9
7,2015,269.87,276.6
8,2015,235.71,274.3
9,2015,158.06,271.9
10,2015,61.23,279.7
11,2015,55.56,284.6
12,2015,21.41,293.6
1,2016,10.25,280.7
2,2016,10.52,284.7
3,2016,27.33,284.5
4,2016,31.91,285.5
5,2016,84.33,289.3
6,2016,214.3,290.8
7,2016,349.77,293.7
8,2016,242.52,296.6
9,2016,198.41,304.9
10,2016,66.06,294.5
11,2016,14.47,293.6
12,2016,23.77,302.4
1,2017,25.45,317.4
2,2017,9.14,324.8
3,2017,33.61,311.3
4,2017,47.88,131.6
5,2017,77.32,130.5
6,2017,232.57,126.9
7,2017,322.08,126.3
8,2017,277.41,124.5
9,2017,191,126.1
10,2017,103.78,123.3
11,2017,22.35,118.5
12,2017,25.34,121.3
1,2018,16.3,118.3
2,2018,22.5,115.9
3,2018,28,118.1
4,2018,40.52,118
5,2018,82.2,117
6,2018,155.7,119.3
7,2018,273.8,119.6
8,2018,240.5,121.9
9,2018,132.3,121.4
10,2018,70.33,125.8
11,2018,23.6,137.7
12,2018,15.4,142.3
1,2019,16.3,156.3
2,2019,22.5,156.9
3,2019,28,157.1
4,2019,40.52,158
5,2019,82.2,159
6,2019,155.7,159.3
7,2019,273.8,159.6
8,2019,240.5,159.9
9,2019,132.3,160.4
10,2019,70.33,160.8
11,2019,23.6,160.7
12,2019,15.4,161.3
1,2020,16.3,158.3
2,2020,22.5,158.9
3,2020,28,157.1
4,2020,40.52,157
5,2020,82.2,156
6,2020,155.7,155.3
7,2020,273.8,155.6
8,2020,240.5,155.9
9,2020,132.3,154.4
10,2020,70.33,157.8
11,2020,23.6,157.7
12,2020,15.4,154.3
1,2021,16.3,143.3
2,2021,22.5,143.9
3,2021,28,143.1
4,2021,40.52,143
5,2021,82.2,143
6,2021,155.7,143.3
7,2021,273.8,143.6
8,2021,240.5,143.9
9,2021,132.3,143.4
10,2021,70.33,143.8
11,2021,23.6,143.7
12,2021,15.4,143.7
