Month,Year,Rainfall,WPI
1,2004,20.9,116.5
2,2004,9.84,126.6
3,2004,14.33,132.5
4,2004,54.81,83.4
5,2004,120.21,83.5
6,2004,221.8,88.6
7,2004,293.62,88.6
8,2004,275.96,89.5
9,2004,150,89.4
10,2004,107.22,94.2
11,2004,25.32,105.2
12,2004,5.06,112.3
1,2005,30.15,116.8
2,2005,34.56,123
3,2005,40.99,130
4,2005,45.2,133
5,2005,65.05,135.1
6,2005,201.71,139.3
7,2005,393.3,123.3
8,2005,230.8,115.3
9,2005,237.58,114.3
10,2005,117.78,125
11,2005,40.25,130.6
12,2005,18.93,136.1
1,2006,12.29,151
2,2006,9.34,156.9
3,2006,34.61,158.9
4,2006,37.06,155.5
5,2006,122.76,154.8
6,2006,207.46,153.5
7,2006,339.33,145.5
8,2006,305.18,130.1
9,2006,211.98,134.6
10,2006,77.23,132.6
11,2006,38.45,131
12,2006,11.08,130.4
1,2007,2.43,124.4
2,2007,34.83,120.9
3,2007,28.65,118.3
4,2007,42.29,117.8
5,2007,72.11,114
6,2007,270.4,115.5
7,2007,363.05,114.3
8,2007,310.5,123.8
9,2007,270.61,126.6
10,2007,76.21,122.9
11,2007,24,126.5
12,2007,18.95,126.1
1,2008,19.41,125.4
2,2008,17.78,126.6
3,2008,50.4,129.5
4,2008,40.5,132.8
5,2008,69.56,134.8
6,2008,259.4,135.9
7,2008,293.27,136.6
8,2008,307.08,137.8
9,2008,192.55,138.8
10,2008,71.02,138.8
11,2008,33.34,138.5
12,2008,13.02,139.4
1,2009,8.24,139.5
2,2009,10.63,140.1
3,2009,17.09,141.6
4,2009,30.67,146.1
5,2009,79.55,154
6,2009,137.04,155
7,2009,342.42,153.3
8,2009,220.29,152.4
9,2009,174.61,151.6
10,2009,93.45,178.2
11,2009,61.28,167.8
12,2009,15.37,162.7
1,2010,9.83,164.1
2,2010,12.7,167.2
3,2010,18.55,173
4,2010,49.19,172.1
5,2010,86.26,175.1
6,2010,204.78,178.1
7,2010,358.325,189.8
8,2010,302.26,187.3
9,2010,217.91,218
10,2010,94.18,239.3
11,2010,74.48,234.9
12,2010,28.58,234.4
1,2011,14.35,227.6
2,2011,22.45,231.6
3,2011,28.07,240
4,2011,48.84,239.8
5,2011,71.55,256.6
6,2011,245.43,245.4
7,2011,324.65,222.7
8,2011,329.4,221.8
9,2011,218.18,223.9
10,2011,55.4,209.6
11,2011,29.98,199.7
12,2011,12.85,194.5
1,2012,27.62,205.9
2,2012,9.66,223.2
3,2012,12.2,227
4,2012,57.91,222.2
5,2012,50.87,216.1
6,2012,184.66,227.1
7,2012,287.23,246.3
8,2012,294.01,251.6
9,2012,231.39,255.3
10,2012,77.68,241.9
11,2012,38.55,234.8
12,2012,13.84,239
1,2013,12.1,246.6
2,2013,36.56,254.2
3,2013,17.47,273.2
4,2013,31.6,272.2
5,2013,82.8,268
6,2013,297.41,258.3
7,2013,372.56,254.3
8,2013,264.33,244
9,2013,179.24,244.7
10,2013,144.81,259.6
11,2013,27.39,254
12,2013,8.81,271.6
1,2014,16.18,273.6
2,2014,25.64,272.9
3,2014,29.44,270
4,2014,22.05,276.9
5,2014,91.01,289.8
6,2014,142.26,293.1
7,2014,309.73,279.2
8,2014,291.225,267
9,2014,198.37,267.9
10,2014,81.15,277.1
11,2014,21.11,290.8
12,2014,16.16,299.1
1,2015,19.05,298.3
2,2015,16.82,308
3,2015,51.73,309.8
4,2015,76.22,308.6
5,2015,75.52,311.1
6,2015,239.35,356.5
7,2015,269.87,362.1
8,2015,235.71,362
9,2015,158.06,371.5
10,2015,61.23,400.9
11,2015,55.56,434.3
12,2015,21.41,453.4
1,2016,10.25,483.2
2,2016,10.52,493.8
3,2016,27.33,505
4,2016,31.91,514.4
5,2016,84.33,520.3
6,2016,214.3,548.7
7,2016,349.77,525.7
8,2016,242.52,418.2
9,2016,198.41,411.1
10,2016,66.06,411.3
11,2016,14.47,417
12,2016,23.77,403.5
1,2017,25.45,403.4
2,2017,9.14,404.1
3,2017,33.61,404
4,2017,47.88,168.9
5,2017,77.32,163.5
6,2017,232.57,163.3
7,2017,322.08,158.1
8,2017,277.41,154.6
9,2017,191,159.9
10,2017,103.78,158
11,2017,22.35,152.4
12,2017,25.34,154.4
1,2018,16.3,154.5
2,2018,22.5,160.6
3,2018,28,166.8
4,2018,40.52,165.8
5,2018,82.2,166.1
6,2018,155.7,166.3
7,2018,273.8,166.9
8,2018,240.5,170.2
9,2018,132.3,172.7
10,2018,70.33,181.7
11,2018,23.6,182.8
12,2018,15.4,184.8
1,2019,16.3,198.5
2,2019,22.5,198.6
3,2019,28,198.8
4,2019,40.52,198.8
5,2019,82.2,199.1
6,2019,155.7,199.3
7,2019,273.8,199.9
8,2019,240.5,199.2
9,2019,132.3,199.7
10,2019,70.33,199.7
11,2019,23.6,199.8
12,2019,15.4,200
1,2020,16.3,221.5
2,2020,22.5,222.6
3,2020,28,223.8
4,2020,40.52,223.8
5,2020,82.2,224.1
6,2020,155.7,226.3
7,2020,273.8,228.9
8,2020,240.5,229.2
9,2020,132.3,230.7
10,2020,70.33,232.7
11,2020,23.6,234.8
12,2020,15.4,235.8
1,2021,16.3,281.5
2,2021,22.5,281.6
3,2021,28,281.8
4,2021,40.52,282.8
5,2021,82.2,282.1
6,2021,155.7,282.3
7,2021,273.8,283.9
8,2021,240.5,284.2
9,2021,132.3,285.7
10,2021,70.33,286.7
11,2021,23.6,287.8
12,2021,15.4,287.8
