Month,Year,Rainfall,WPI
1,2004,20.9,106.5
2,2004,9.84,107.5
3,2004,14.33,109.8
4,2004,54.81,96
5,2004,120.21,98.8
6,2004,221.8,96.5
7,2004,293.62,98.5
8,2004,275.96,101.6
9,2004,150,99.6
10,2004,107.22,95.4
11,2004,25.32,95
12,2004,5.06,100.1
1,2005,30.15,104.1
2,2005,34.56,106.5
3,2005,40.99,108.5
4,2005,45.2,111.1
5,2005,65.05,109.6
6,2005,201.71,110.6
7,2005,393.3,112.6
8,2005,230.8,111.2
9,2005,237.58,112
10,2005,117.78,111.4
11,2005,40.25,110.7
12,2005,18.93,115.4
1,2006,12.29,117.5
2,2006,9.34,118.2
3,2006,34.61,116.9
4,2006,37.06,115.9
5,2006,122.76,116.2
6,2006,207.46,118.2
7,2006,339.33,116.5
8,2006,305.18,118.8
9,2006,211.98,119
10,2006,77.23,117.6
11,2006,38.45,122
12,2006,11.08,126.5
1,2007,2.43,130.6
2,2007,34.83,133.3
3,2007,28.65,135.3
4,2007,42.29,134.9
5,2007,72.11,131.9
6,2007,270.4,131.6
7,2007,363.05,131.9
8,2007,310.5,130.4
9,2007,270.61,126.9
10,2007,76.21,127.3
11,2007,24,126.9
12,2007,18.95,125.9
1,2008,19.41,130
2,2008,17.78,131.1
3,2008,50.4,134
4,2008,40.5,134.5
5,2008,69.56,134.7
6,2008,259.4,137.7
7,2008,293.27,137.4
8,2008,307.08,138.2
9,2008,192.55,136.9
10,2008,71.02,138.2
11,2008,33.34,140.5
12,2008,13.02,138.8
1,2009,8.24,142.4
2,2009,10.63,144.6
3,2009,17.09,145.3
4,2009,30.67,148.6
5,2009,79.55,150.1
6,2009,137.04,151.8
7,2009,342.42,153
8,2009,220.29,156.2
9,2009,174.61,155.6
10,2009,93.45,154.5
11,2009,61.28,155.3
12,2009,15.37,154.3
1,2010,9.83,154.1
2,2010,12.7,153.5
3,2010,18.55,153.1
4,2010,49.19,153.1
5,2010,86.26,152.8
6,2010,204.78,157.8
7,2010,358.325,166.2
8,2010,302.26,169.4
9,2010,217.91,168.1
10,2010,94.18,167.2
11,2010,74.48,171.1
12,2010,28.58,171.9
1,2011,14.35,174.7
2,2011,22.45,183.1
3,2011,28.07,191.9
4,2011,48.84,202.8
5,2011,71.55,208.6
6,2011,245.43,207.2
7,2011,324.65,205.7
8,2011,329.4,209.3
9,2011,218.18,201.1
10,2011,55.4,194.1
11,2011,29.98,194.1
12,2011,12.85,200.4
1,2012,27.62,210.1
2,2012,9.66,213.8
3,2012,12.2,220.4
4,2012,57.91,225.4
5,2012,50.87,220.5
6,2012,184.66,219.2
7,2012,287.23,221.6
8,2012,294.01,229.5
9,2012,231.39,234.1
10,2012,77.68,232.2
11,2012,38.55,233.9
12,2012,13.84,243.2
1,2013,12.1,250.4
2,2013,36.56,249.3
3,2013,17.47,249.1
4,2013,31.6,249.9
5,2013,82.8,246.8
6,2013,297.41,254.5
7,2013,372.56,254.9
8,2013,264.33,255.3
9,2013,179.24,260.4
10,2013,144.81,247.1
11,2013,27.39,251.1
12,2013,8.81,254
1,2014,16.18,248.6
2,2014,25.64,245.7
3,2014,29.44,246.6
4,2014,22.05,245.6
5,2014,91.01,240.3
6,2014,142.26,242.5
7,2014,309.73,253.9
8,2014,291.225,249.3
9,2014,198.37,234.6
10,2014,81.15,230.5
11,2014,21.11,232.8
12,2014,16.16,235
1,2015,19.05,241.5
2,2015,16.82,243.4
3,2015,51.73,251.3
4,2015,76.22,250
5,2015,75.52,246.2
6,2015,239.35,246.1
7,2015,269.87,245.5
8,2015,235.71,249.2
9,2015,158.06,251.3
10,2015,61.23,249.8
11,2015,55.56,259.9
12,2015,21.41,267.1
1,2016,10.25,269.1
2,2016,10.52,273.8
3,2016,27.33,273.8
4,2016,31.91,273.1
5,2016,84.33,276.7
6,2016,214.3,278.6
7,2016,349.77,289.6
8,2016,242.52,288.1
9,2016,198.41,288.3
10,2016,66.06,280.7
11,2016,14.47,275.7
12,2016,23.77,272.6
1,2017,25.45,275.6
2,2017,9.14,270.4
3,2017,33.61,271.5
4,2017,47.88,135.5
5,2017,77.32,134.2
6,2017,232.57,132.6
7,2017,322.08,129.2
8,2017,277.41,127.7
9,2017,191,125.1
10,2017,103.78,123.7
11,2017,22.35,119.1
12,2017,25.34,117.9
1,2018,16.3,116.4
2,2018,22.5,117.3
3,2018,28,117.3
4,2018,40.52,118
5,2018,82.2,117.6
6,2018,155.7,121.5
7,2018,273.8,121.6
8,2018,240.5,123.2
9,2018,132.3,125.7
10,2018,70.33,129.3
11,2018,23.6,131.9
12,2018,15.4,139.2
1,2019,16.3,172.4
2,2019,22.5,172.3
3,2019,28,172.3
4,2019,40.52,173
5,2019,82.2,173.6
6,2019,155.7,173.5
7,2019,273.8,173.6
8,2019,240.5,174.2
9,2019,132.3,175.7
10,2019,70.33,175.3
11,2019,23.6,175.9
12,2019,15.4,175.2
1,2020,16.3,151.4
2,2020,22.5,151.3
3,2020,28,150.3
4,2020,40.52,150
5,2020,82.2,149.6
6,2020,155.7,149.5
7,2020,273.8,148.6
8,2020,240.5,147.2
9,2020,132.3,146.7
10,2020,70.33,145.3
11,2020,23.6,144.9
12,2020,15.4,143.2
1,2021,16.3,145.4
2,2021,22.5,145.3
3,2021,28,146.3
4,2021,40.52,146
5,2021,82.2,146.6
6,2021,155.7,147.5
7,2021,273.8,148.6
8,2021,240.5,149.2
9,2021,132.3,149.7
10,2021,70.33,150.3
11,2021,23.6,150.9
12,2021,15.4,152.2
