Month,Year,Rainfall,WPI
1,2004,20.9,101.4
2,2004,9.84,100
3,2004,14.33,103.6
4,2004,54.81,98
5,2004,120.21,98.4
6,2004,221.8,97.1
7,2004,293.62,97.5
8,2004,275.96,100.4
9,2004,150,101.5
10,2004,107.22,101.7
11,2004,25.32,101.3
12,2004,5.06,101.9
1,2005,30.15,100.5
2,2005,34.56,99.7
3,2005,40.99,102.5
4,2005,45.2,108.1
5,2005,65.05,109.7
6,2005,201.71,111.5
7,2005,393.3,115.6
8,2005,230.8,116.2
9,2005,237.58,116.3
10,2005,117.78,117.3
11,2005,40.25,124.5
12,2005,18.93,125.3
1,2006,12.29,131.4
2,2006,9.34,139.9
3,2006,34.61,144.1
4,2006,37.06,154
5,2006,122.76,158.2
6,2006,207.46,159.8
7,2006,339.33,155.5
8,2006,305.18,152.8
9,2006,211.98,159.1
10,2006,77.23,168.1
11,2006,38.45,165.1
12,2006,11.08,164.9
1,2007,2.43,160.8
2,2007,34.83,163.8
3,2007,28.65,161.5
4,2007,42.29,162.6
5,2007,72.11,157.8
6,2007,270.4,147.3
7,2007,363.05,149.2
8,2007,310.5,145.6
9,2007,270.61,142.3
10,2007,76.21,138.1
11,2007,24,133.9
12,2007,18.95,130.3
1,2008,19.41,125.4
2,2008,17.78,129.6
3,2008,50.4,132.1
4,2008,40.5,132.4
5,2008,69.56,130.7
6,2008,259.4,133.4
7,2008,293.27,141.4
8,2008,307.08,154.9
9,2008,192.55,159.3
10,2008,71.02,160.5
11,2008,33.34,161.1
12,2008,13.02,157.2
1,2009,8.24,157.7
2,2009,10.63,158.7
3,2009,17.09,157.7
4,2009,30.67,161.5
5,2009,79.55,167.6
6,2009,137.04,177.2
7,2009,342.42,189.8
8,2009,220.29,198.1
9,2009,174.61,222.7
10,2009,93.45,237
11,2009,61.28,267.2
12,2009,15.37,292.5
1,2010,9.83,301.9
2,2010,12.7,290.6
3,2010,18.55,299.5
4,2010,49.19,316
5,2010,86.26,322.9
6,2010,204.78,327.2
7,2010,358.325,309.5
8,2010,302.26,305
9,2010,217.91,270.7
10,2010,94.18,257.4
11,2010,74.48,243.5
12,2010,28.58,248.7
1,2011,14.35,258.6
2,2011,22.45,255.4
3,2011,28.07,250.4
4,2011,48.84,254.6
5,2011,71.55,251.2
6,2011,245.43,248.2
7,2011,324.65,248.5
8,2011,329.4,248.3
9,2011,218.18,249.1
10,2011,55.4,251.8
11,2011,29.98,239.3
12,2011,12.85,240.5
1,2012,27.62,230.3
2,2012,9.66,234.2
3,2012,12.2,237.1
4,2012,57.91,236.6
5,2012,50.87,235.5
6,2012,184.66,234.1
7,2012,287.23,248.3
8,2012,294.01,261.6
9,2012,231.39,262.3
10,2012,77.68,266.9
11,2012,38.55,267.4
12,2012,13.84,272
1,2013,12.1,275.4
2,2013,36.56,275.9
3,2013,17.47,277.6
4,2013,31.6,281.7
5,2013,82.8,279
6,2013,297.41,281.1
7,2013,372.56,278.4
8,2013,264.33,270.5
9,2013,179.24,285.3
10,2013,144.81,305.2
11,2013,27.39,316.4
12,2013,8.81,315.6
1,2014,16.18,305.4
2,2014,25.64,312
3,2014,29.44,320
4,2014,22.05,328.2
5,2014,91.01,334
6,2014,142.26,331.6
7,2014,309.73,349.9
8,2014,291.225,348.8
9,2014,198.37,348
10,2014,81.15,349
11,2014,21.11,369.7
12,2014,16.16,385.1
1,2015,19.05,400.3
2,2015,16.82,386.5
3,2015,51.73,364.8
4,2015,76.22,365.5
5,2015,75.52,378.5
6,2015,239.35,414.1
7,2015,269.87,404.6
8,2015,235.71,399.8
9,2015,158.06,406.2
10,2015,61.23,422.7
11,2015,55.56,441.2
12,2015,21.41,418
1,2016,10.25,415.5
2,2016,10.52,397.4
3,2016,27.33,390.5
4,2016,31.91,398.4
5,2016,84.33,405.1
6,2016,214.3,386.1
7,2016,349.77,378.2
8,2016,242.52,360.8
9,2016,198.41,332.2
10,2016,66.06,326.8
11,2016,14.47,312.9
12,2016,23.77,300.7
1,2017,25.45,289.5
2,2017,9.14,281.6
3,2017,33.61,280.1
4,2017,47.88,128.8
5,2017,77.32,128.1
6,2017,232.57,116
7,2017,322.08,113
8,2017,277.41,112.6
9,2017,191,112.9
10,2017,103.78,111.5
11,2017,22.35,109.8
12,2017,25.34,110.7
1,2018,16.3,112.2
2,2018,22.5,113
3,2018,28,114.1
4,2018,40.52,111.5
5,2018,82.2,113
6,2018,155.7,112.4
7,2018,273.8,115
8,2018,240.5,118.9
9,2018,132.3,119.8
10,2018,70.33,118.1
11,2018,23.6,121.6
12,2018,15.4,123
1,2019,16.3,135.2
2,2019,22.5,135
3,2019,28,136.1
4,2019,40.52,136.5
5,2019,82.2,137
6,2019,155.7,138.4
7,2019,273.8,138
8,2019,240.5,139.9
9,2019,132.3,139.8
10,2019,70.33,140.1
11,2019,23.6,141.6
12,2019,15.4,142
1,2020,16.3,167
2,2020,22.5,167
3,2020,28,168.1
4,2020,40.52,168.5
5,2020,82.2,168
6,2020,155.7,169.4
7,2020,273.8,169
8,2020,240.5,169.9
9,2020,132.3,169.8
10,2020,70.33,170.1
11,2020,23.6,170.6
12,2020,15.4,170
1,2021,16.3,166
2,2021,22.5,166
3,2021,28,166.1
4,2021,40.52,166.5
5,2021,82.2,166
6,2021,155.7,166.4
7,2021,273.8,166
8,2021,240.5,166.9
9,2021,132.3,166.8
10,2021,70.33,166.1
11,2021,23.6,166.6
12,2021,15.4,166.1
