Month,Year,Rainfall,WPI
1,2004,20.9,94.6
2,2004,9.84,91.5
3,2004,14.33,89.7
4,2004,54.81,101
5,2004,120.21,103.4
6,2004,221.8,103.8
7,2004,293.62,100.9
8,2004,275.96,107.3
9,2004,150,108.3
10,2004,107.22,104.6
11,2004,25.32,99.5
12,2004,5.06,96.5
1,2005,30.15,93.7
2,2005,34.56,91.9
3,2005,40.99,88.5
4,2005,45.2,86.9
5,2005,65.05,87.5
6,2005,201.71,89.1
7,2005,393.3,90.5
8,2005,230.8,89.3
9,2005,237.58,89.3
10,2005,117.78,81.7
11,2005,40.25,83.6
12,2005,18.93,83.3
1,2006,12.29,82
2,2006,9.34,82.6
3,2006,34.61,81.2
4,2006,37.06,79.5
5,2006,122.76,78.7
6,2006,207.46,81
7,2006,339.33,87.5
8,2006,305.18,92.6
9,2006,211.98,98.7
10,2006,77.23,97.6
11,2006,38.45,99.9
12,2006,11.08,102.4
1,2007,2.43,110.1
2,2007,34.83,135.1
3,2007,28.65,162
4,2007,42.29,163
5,2007,72.11,179.4
6,2007,270.4,166.9
7,2007,363.05,177.7
8,2007,310.5,211.9
9,2007,270.61,197.7
10,2007,76.21,183.8
11,2007,24,144.9
12,2007,18.95,146
1,2008,19.41,153.1
2,2008,17.78,220.6
3,2008,50.4,267.7
4,2008,40.5,256.2
5,2008,69.56,257.5
6,2008,259.4,283.7
7,2008,293.27,274.3
8,2008,307.08,243.6
9,2008,192.55,232.8
10,2008,71.02,201.6
11,2008,33.34,200.4
12,2008,13.02,182.4
1,2009,8.24,180.4
2,2009,10.63,206.6
3,2009,17.09,217.6
4,2009,30.67,206.5
5,2009,79.55,207.2
6,2009,137.04,181.4
7,2009,342.42,167.7
8,2009,220.29,163.4
9,2009,174.61,161.7
10,2009,93.45,151.6
11,2009,61.28,149.4
12,2009,15.37,152.6
1,2010,9.83,172.8
2,2010,12.7,168.3
3,2010,18.55,146.6
4,2010,49.19,140.8
5,2010,86.26,139.5
6,2010,204.78,136.8
7,2010,358.325,134.1
8,2010,302.26,134.1
9,2010,217.91,137.5
10,2010,94.18,141.7
11,2010,74.48,161
12,2010,28.58,161
1,2011,14.35,148.1
2,2011,22.45,142.2
3,2011,28.07,146.2
4,2011,48.84,147.5
5,2011,71.55,147
6,2011,245.43,147.3
7,2011,324.65,176
8,2011,329.4,175.8
9,2011,218.18,177.1
10,2011,55.4,174.9
11,2011,29.98,169
12,2011,12.85,171.7
1,2012,27.62,177.1
2,2012,9.66,167.7
3,2012,12.2,174.4
4,2012,57.91,183.8
5,2012,50.87,195.8
6,2012,184.66,203.4
7,2012,287.23,201.2
8,2012,294.01,212.6
9,2012,231.39,210.9
10,2012,77.68,191.8
11,2012,38.55,178.4
12,2012,13.84,182.4
1,2013,12.1,182.4
2,2013,36.56,182.4
3,2013,17.47,182.4
4,2013,31.6,182.4
5,2013,82.8,177.1
6,2013,297.41,170.6
7,2013,372.56,169.7
8,2013,264.33,166.3
9,2013,179.24,172.4
10,2013,144.81,175.1
11,2013,27.39,177.1
12,2013,8.81,178.4
1,2014,16.18,177.8
2,2014,25.64,171.7
3,2014,29.44,171.7
4,2014,22.05,177.1
5,2014,91.01,177.1
6,2014,142.26,181.1
7,2014,309.73,186.4
8,2014,291.225,195.3
9,2014,198.37,203.9
10,2014,81.15,203.9
11,2014,21.11,192.1
12,2014,16.16,201.9
1,2015,19.05,214.1
2,2015,16.82,222.6
3,2015,51.73,233.3
4,2015,76.22,241.4
5,2015,75.52,225.3
6,2015,239.35,261.5
7,2015,269.87,331.3
8,2015,235.71,353.6
9,2015,158.06,354.1
10,2015,61.23,354.1
11,2015,55.56,402.4
12,2015,21.41,402.4
1,2016,10.25,378.8
2,2016,10.52,356.8
3,2016,27.33,350.1
4,2016,31.91,347.7
5,2016,84.33,336.6
6,2016,214.3,331.3
7,2016,349.77,332.6
8,2016,242.52,323.3
9,2016,198.41,321.9
10,2016,66.06,321.9
11,2016,14.47,321.9
12,2016,23.77,317.6
1,2017,25.45,314.5
2,2017,9.14,316.5
3,2017,33.61,316.5
4,2017,47.88,201.6
5,2017,77.32,204.7
6,2017,232.57,206.7
7,2017,322.08,207.2
8,2017,277.41,205.4
9,2017,191,204.8
10,2017,103.78,205.9
11,2017,22.35,205.5
12,2017,25.34,203
1,2018,16.3,200.8
2,2018,22.5,190.2
3,2018,28,179
4,2018,40.52,169.5
5,2018,82.2,153.7
6,2018,155.7,141.7
7,2018,273.8,132.8
8,2018,240.5,130.9
9,2018,132.3,139.7
10,2018,70.33,140.8
11,2018,23.6,141.1
12,2018,15.4,141.1
1,2019,16.3,165.8
2,2019,22.5,165.2
3,2019,28,165
4,2019,40.52,166.5
5,2019,82.2,166.7
6,2019,155.7,167.7
7,2019,273.8,167.8
8,2019,240.5,168.9
9,2019,132.3,168.7
10,2019,70.33,169.8
11,2019,23.6,169.1
12,2019,15.4,169.1
1,2020,16.3,181.8
2,2020,22.5,182.2
3,2020,28,183
4,2020,40.52,184.5
5,2020,82.2,185.7
6,2020,155.7,186.7
7,2020,273.8,187.8
8,2020,240.5,188.9
9,2020,132.3,188.7
10,2020,70.33,189.8
11,2020,23.6,190.1
12,2020,15.4,191.1
1,2021,16.3,236.8
2,2021,22.5,137.2
3,2021,28,138
4,2021,40.52,139.5
5,2021,82.2,140.7
6,2021,155.7,140.7
7,2021,273.8,142.8
8,2021,240.5,143.9
9,2021,132.3,144.7
10,2021,70.33,145.8
11,2021,23.6,147.1
12,2021,15.4,149.1
