Month,Year,Rainfall,WPI
1,2004,20.9,101.8
2,2004,9.84,103.5
3,2004,14.33,102.5
4,2004,54.81,96.9
5,2004,120.21,97.8
6,2004,221.8,98.7
7,2004,293.62,98.9
8,2004,275.96,99.7
9,2004,150,100.3
10,2004,107.22,101.1
11,2004,25.32,100.7
12,2004,5.06,100.8
1,2005,30.15,101.2
2,2005,34.56,102
3,2005,40.99,102.1
4,2005,45.2,102.5
5,2005,65.05,102.5
6,2005,201.71,104.3
7,2005,393.3,105.7
8,2005,230.8,106.7
9,2005,237.58,107
10,2005,117.78,107.6
11,2005,40.25,106.6
12,2005,18.93,105
1,2006,12.29,104.9
2,2006,9.34,105
3,2006,34.61,105
4,2006,37.06,105.6
5,2006,122.76,106.4
6,2006,207.46,107
7,2006,339.33,107.3
8,2006,305.18,107.8
9,2006,211.98,108.9
10,2006,77.23,111.7
11,2006,38.45,112
12,2006,11.08,111.9
1,2007,2.43,113.3
2,2007,34.83,113.9
3,2007,28.65,114.5
4,2007,42.29,115.7
5,2007,72.11,116.2
6,2007,270.4,116.6
7,2007,363.05,117.8
8,2007,310.5,119.3
9,2007,270.61,120.6
10,2007,76.21,126.1
11,2007,24,125.4
12,2007,18.95,124.8
1,2008,19.41,127.3
2,2008,17.78,128.8
3,2008,50.4,130.9
4,2008,40.5,132.6
5,2008,69.56,132.7
6,2008,259.4,132.6
7,2008,293.27,133.9
8,2008,307.08,134.9
9,2008,192.55,135.7
10,2008,71.02,145
11,2008,33.34,146.3
12,2008,13.02,146.3
1,2009,8.24,147
2,2009,10.63,149.3
3,2009,17.09,151.1
4,2009,30.67,150.9
5,2009,79.55,151
6,2009,137.04,151.8
7,2009,342.42,151.4
8,2009,220.29,153.1
9,2009,174.61,157.6
10,2009,93.45,160.2
11,2009,61.28,162.6
12,2009,15.37,164.5
1,2010,9.83,164.7
2,2010,12.7,164.1
3,2010,18.55,163.3
4,2010,49.19,163.5
5,2010,86.26,163.5
6,2010,204.78,164.3
7,2010,358.325,165.9
8,2010,302.26,164.4
9,2010,217.91,166.6
10,2010,94.18,168.7
11,2010,74.48,170.3
12,2010,28.58,171.1
1,2011,14.35,170.6
2,2011,22.45,170.4
3,2011,28.07,167
4,2011,48.84,167.3
5,2011,71.55,169.7
6,2011,245.43,169
7,2011,324.65,169.9
8,2011,329.4,172.9
9,2011,218.18,173.3
10,2011,55.4,176.3
11,2011,29.98,175.4
12,2011,12.85,173.1
1,2012,27.62,172.2
2,2012,9.66,173
3,2012,12.2,175.4
4,2012,57.91,177.3
5,2012,50.87,178
6,2012,184.66,181.6
7,2012,287.23,186.8
8,2012,294.01,190.8
9,2012,231.39,195.1
10,2012,77.68,202.7
11,2012,38.55,202.2
12,2012,13.84,202.7
1,2013,12.1,202.8
2,2013,36.56,203.7
3,2013,17.47,206.2
4,2013,31.6,207.6
5,2013,82.8,210.9
6,2013,297.41,218.7
7,2013,372.56,226.3
8,2013,264.33,231.5
9,2013,179.24,231.4
10,2013,144.81,232
11,2013,27.39,232.5
12,2013,8.81,230.1
1,2014,16.18,230
2,2014,25.64,231.5
3,2014,29.44,232.1
4,2014,22.05,234.1
5,2014,91.01,237.8
6,2014,142.26,241.1
7,2014,309.73,244.7
8,2014,291.225,246.8
9,2014,198.37,247.3
10,2014,81.15,247
11,2014,21.11,245.4
12,2014,16.16,240.3
1,2015,19.05,239.2
2,2015,16.82,239.1
3,2015,51.73,233.6
4,2015,76.22,234
5,2015,75.52,234.4
6,2015,239.35,237.2
7,2015,269.87,237.7
8,2015,235.71,237.2
9,2015,158.06,238
10,2015,61.23,238.6
11,2015,55.56,237.4
12,2015,21.41,237.3
1,2016,10.25,238.9
2,2016,10.52,238.9
3,2016,27.33,238.7
4,2016,31.91,238.1
5,2016,84.33,241.8
6,2016,214.3,248.8
7,2016,349.77,253.9
8,2016,242.52,254.7
9,2016,198.41,254.9
10,2016,66.06,255.4
11,2016,14.47,254.7
12,2016,23.77,253.6
1,2017,25.45,252
2,2017,9.14,255.1
3,2017,33.61,250.8
4,2017,47.88,147.6
5,2017,77.32,148
6,2017,232.57,148.4
7,2017,322.08,149.1
8,2017,277.41,148.5
9,2017,191,148.8
10,2017,103.78,149.6
11,2017,22.35,149.2
12,2017,25.34,148.8
1,2018,16.3,150.4
2,2018,22.5,151.4
3,2018,28,152.6
4,2018,40.52,153.3
5,2018,82.2,154.2
6,2018,155.7,153.9
7,2018,273.8,155
8,2018,240.5,155.6
9,2018,132.3,155.7
10,2018,70.33,155.7
11,2018,23.6,155.5
12,2018,15.4,154.7
1,2019,16.3,159.3
2,2019,22.5,159.4
3,2019,28,159.6
4,2019,40.52,159.3
5,2019,82.2,159.2
6,2019,155.7,159.9
7,2019,273.8,159
8,2019,240.5,159.6
9,2019,132.3,159.7
10,2019,70.33,160.7
11,2019,23.6,160.5
12,2019,15.4,160.5
1,2020,16.3,163.3
2,2020,22.5,163.4
3,2020,28,163.6
4,2020,40.52,163.3
5,2020,82.2,163.2
6,2020,155.7,162.9
7,2020,273.8,163
8,2020,240.5,163.6
9,2020,132.3,163.7
10,2020,70.33,163.7
11,2020,23.6,163.5
12,2020,15.4,163.4
1,2021,16.3,162.1
2,2021,22.5,162.4
3,2021,28,162.6
4,2021,40.52,162.3
5,2021,82.2,162.2
6,2021,155.7,163.9
7,2021,273.8,163
8,2021,240.5,163.6
9,2021,132.3,163.7
10,2021,70.33,163.7
11,2021,23.6,163.5
12,2021,15.4,163.3
