Month,Year,Rainfall,WPI
1,2004,20.9,98.9
2,2004,9.84,99.8
3,2004,14.33,99.5
4,2004,54.81,104.2
5,2004,120.21,102.8
6,2004,221.8,101
7,2004,293.62,99.3
8,2004,275.96,99.1
9,2004,150,99.1
10,2004,107.22,99.7
11,2004,25.32,100.9
12,2004,5.06,96.7
1,2005,30.15,98.7
2,2005,34.56,99.6
3,2005,40.99,98.9
4,2005,45.2,101.8
5,2005,65.05,101.6
6,2005,201.71,100.7
7,2005,393.3,101
8,2005,230.8,99.7
9,2005,237.58,100.2
10,2005,117.78,99.4
11,2005,40.25,101.8
12,2005,18.93,102.5
1,2006,12.29,102.3
2,2006,9.34,102.7
3,2006,34.61,102.6
4,2006,37.06,102.3
5,2006,122.76,102.9
6,2006,207.46,105.5
7,2006,339.33,108.2
8,2006,305.18,108.3
9,2006,211.98,110.7
10,2006,77.23,113.7
11,2006,38.45,114.9
12,2006,11.08,116.3
1,2007,2.43,117
2,2007,34.83,122.4
3,2007,28.65,123.8
4,2007,42.29,125.4
5,2007,72.11,123.1
6,2007,270.4,122.1
7,2007,363.05,124.9
8,2007,310.5,123.9
9,2007,270.61,123.7
10,2007,76.21,124.3
11,2007,24,121.6
12,2007,18.95,122.1
1,2008,19.41,122.8
2,2008,17.78,122.5
3,2008,50.4,123.9
4,2008,40.5,123.9
5,2008,69.56,123.9
6,2008,259.4,127.9
7,2008,293.27,123.3
8,2008,307.08,125.1
9,2008,192.55,126.9
10,2008,71.02,137.1
11,2008,33.34,137
12,2008,13.02,138.1
1,2009,8.24,139.5
2,2009,10.63,144.2
3,2009,17.09,172.3
4,2009,30.67,172.6
5,2009,79.55,172.9
6,2009,137.04,177.9
7,2009,342.42,177.1
8,2009,220.29,177
9,2009,174.61,176.2
10,2009,93.45,172.4
11,2009,61.28,172.8
12,2009,15.37,174.1
1,2010,9.83,174.2
2,2010,12.7,174
3,2010,18.55,174.9
4,2010,49.19,173.6
5,2010,86.26,174
6,2010,204.78,172.9
7,2010,358.325,172.5
8,2010,302.26,173.2
9,2010,217.91,171.5
10,2010,94.18,170.4
11,2010,74.48,170.8
12,2010,28.58,172
1,2011,14.35,172.9
2,2011,22.45,181.4
3,2011,28.07,180.3
4,2011,48.84,184.6
5,2011,71.55,186.2
6,2011,245.43,192.5
7,2011,324.65,197.3
8,2011,329.4,208.1
9,2011,218.18,206.1
10,2011,55.4,208.7
11,2011,29.98,210.1
12,2011,12.85,214.8
1,2012,27.62,215.8
2,2012,9.66,216.1
3,2012,12.2,218.7
4,2012,57.91,223.5
5,2012,50.87,228.4
6,2012,184.66,224
7,2012,287.23,235.6
8,2012,294.01,252.3
9,2012,231.39,269.9
10,2012,77.68,284.8
11,2012,38.55,312.1
12,2012,13.84,323.5
1,2013,12.1,311.2
2,2013,36.56,337.3
3,2013,17.47,337.1
4,2013,31.6,334.3
5,2013,82.8,349.6
6,2013,297.41,346.3
7,2013,372.56,348
8,2013,264.33,356.9
9,2013,179.24,348.9
10,2013,144.81,330.1
11,2013,27.39,336.2
12,2013,8.81,326.8
1,2014,16.18,321.6
2,2014,25.64,317.7
3,2014,29.44,330.9
4,2014,22.05,334.8
5,2014,91.01,329.1
6,2014,142.26,323.5
7,2014,309.73,325.4
8,2014,291.225,330.7
9,2014,198.37,332.7
10,2014,81.15,330
11,2014,21.11,319.1
12,2014,16.16,324.5
1,2015,19.05,328.7
2,2015,16.82,322.6
3,2015,51.73,329.2
4,2015,76.22,334
5,2015,75.52,329.1
6,2015,239.35,327.1
7,2015,269.87,321.1
8,2015,235.71,324.1
9,2015,158.06,326.2
10,2015,61.23,326.6
11,2015,55.56,326.7
12,2015,21.41,328.6
1,2016,10.25,335.8
2,2016,10.52,339.5
3,2016,27.33,340.7
4,2016,31.91,350.9
5,2016,84.33,356.6
6,2016,214.3,349.7
7,2016,349.77,337.3
8,2016,242.52,336.7
9,2016,198.41,339.3
10,2016,66.06,369.7
11,2016,14.47,445.2
12,2016,23.77,464.3
1,2017,25.45,484.9
2,2017,9.14,487.9
3,2017,33.61,510.5
4,2017,47.88,252.2
5,2017,77.32,245
6,2017,232.57,237.5
7,2017,322.08,247
8,2017,277.41,261.9
9,2017,191,252.5
10,2017,103.78,233.7
11,2017,22.35,217.3
12,2017,25.34,217.6
1,2018,16.3,207.9
2,2018,22.5,214.9
3,2018,28,220.8
4,2018,40.52,213.5
5,2018,82.2,211.2
6,2018,155.7,208.3
7,2018,273.8,206.6
8,2018,240.5,216.2
9,2018,132.3,213
10,2018,70.33,214.1
11,2018,23.6,211.4
12,2018,15.4,212.9
1,2019,16.3,223.9
2,2019,22.5,223.9
3,2019,28,223.8
4,2019,40.52,222.5
5,2019,82.2,222.2
6,2019,155.7,222.3
7,2019,273.8,221.6
8,2019,240.5,221.2
9,2019,132.3,221
10,2019,70.33,220.1
11,2019,23.6,220.4
12,2019,15.4,220.9
1,2020,16.3,224.9
2,2020,22.5,224.9
3,2020,28,225.8
4,2020,40.52,225.5
5,2020,82.2,225.2
6,2020,155.7,226.3
7,2020,273.8,226.6
8,2020,240.5,226.2
9,2020,132.3,227
10,2020,70.33,227.1
11,2020,23.6,228.4
12,2020,15.4,228.9
1,2021,16.3,230.9
2,2021,22.5,230.9
3,2021,28,230.8
4,2021,40.52,230.5
5,2021,82.2,230.2
6,2021,155.7,230.3
7,2021,273.8,231.6
8,2021,240.5,231.2
9,2021,132.3,231
10,2021,70.33,231.1
11,2021,23.6,231.4
12,2021,15.4,231.7
