Month,Year,Rainfall,WPI
1,2004,20.9,96.6
2,2004,9.84,88
3,2004,14.33,89.8
4,2004,54.81,106.2
5,2004,120.21,105.6
6,2004,221.8,103.8
7,2004,293.62,104.2
8,2004,275.96,102.9
9,2004,150,103.2
10,2004,107.22,100.6
11,2004,25.32,101.3
12,2004,5.06,99.6
1,2005,30.15,95.5
2,2005,34.56,87.7
3,2005,40.99,87.8
4,2005,45.2,88.8
5,2005,65.05,90.8
6,2005,201.71,91.2
7,2005,393.3,86.9
8,2005,230.8,89.2
9,2005,237.58,87.3
10,2005,117.78,89.6
11,2005,40.25,86
12,2005,18.93,84.2
1,2006,12.29,92.9
2,2006,9.34,93.4
3,2006,34.61,88
4,2006,37.06,87.6
5,2006,122.76,87.4
6,2006,207.46,87.5
7,2006,339.33,87.1
8,2006,305.18,87.3
9,2006,211.98,87.3
10,2006,77.23,85.5
11,2006,38.45,85.1
12,2006,11.08,88.2
1,2007,2.43,89.6
2,2007,34.83,87.9
3,2007,28.65,91.9
4,2007,42.29,98
5,2007,72.11,98
6,2007,270.4,98
7,2007,363.05,98
8,2007,310.5,100
9,2007,270.61,105.8
10,2007,76.21,105.8
11,2007,24,105.3
12,2007,18.95,105.6
1,2008,19.41,105.1
2,2008,17.78,104.9
3,2008,50.4,111.8
4,2008,40.5,104.9
5,2008,69.56,118.7
6,2008,259.4,122.2
7,2008,293.27,122.2
8,2008,307.08,122.2
9,2008,192.55,122.2
10,2008,71.02,122.2
11,2008,33.34,122.2
12,2008,13.02,122.2
1,2009,8.24,122.2
2,2009,10.63,122.2
3,2009,17.09,122.2
4,2009,30.67,122.2
5,2009,79.55,122.2
6,2009,137.04,122.2
7,2009,342.42,122.2
8,2009,220.29,122.2
9,2009,174.61,122.2
10,2009,93.45,122.2
11,2009,61.28,122.2
12,2009,15.37,122.2
1,2010,9.83,122.2
2,2010,12.7,122.2
3,2010,18.55,122.2
4,2010,49.19,122.2
5,2010,86.26,122.2
6,2010,204.78,122.2
7,2010,358.325,122.2
8,2010,302.26,137.3
9,2010,217.91,136.5
10,2010,94.18,138.3
11,2010,74.48,137.1
12,2010,28.58,140.1
1,2011,14.35,144.7
2,2011,22.45,148
3,2011,28.07,144.8
4,2011,48.84,142.4
5,2011,71.55,143.3
6,2011,245.43,141
7,2011,324.65,146.9
8,2011,329.4,154.5
9,2011,218.18,155.4
10,2011,55.4,126.8
11,2011,29.98,126.6
12,2011,12.85,129.1
1,2012,27.62,130.9
2,2012,9.66,130.9
3,2012,12.2,132.6
4,2012,57.91,134.9
5,2012,50.87,149.2
6,2012,184.66,150.1
7,2012,287.23,150.4
8,2012,294.01,147.2
9,2012,231.39,154.2
10,2012,77.68,150.4
11,2012,38.55,150.4
12,2012,13.84,150.4
1,2013,12.1,150.4
2,2013,36.56,150.4
3,2013,17.47,156.1
4,2013,31.6,166.4
5,2013,82.8,156.8
6,2013,297.41,163.6
7,2013,372.56,163.5
8,2013,264.33,156.7
9,2013,179.24,155.1
10,2013,144.81,155.1
11,2013,27.39,156.1
12,2013,8.81,156.4
1,2014,16.18,153.5
2,2014,25.64,151.2
3,2014,29.44,161.4
4,2014,22.05,187.4
5,2014,91.01,189.8
6,2014,142.26,131.3
7,2014,309.73,128.2
8,2014,291.225,125.6
9,2014,198.37,126.6
10,2014,81.15,124.2
11,2014,21.11,121.8
12,2014,16.16,121.8
1,2015,19.05,125.6
2,2015,16.82,127.4
3,2015,51.73,121.8
4,2015,76.22,146.7
5,2015,75.52,157.6
6,2015,239.35,153.4
7,2015,269.87,148.4
8,2015,235.71,152.6
9,2015,158.06,148
10,2015,61.23,146.8
11,2015,55.56,148.8
12,2015,21.41,150
1,2016,10.25,153.7
2,2016,10.52,159.1
3,2016,27.33,157.4
4,2016,31.91,155.6
5,2016,84.33,159
6,2016,214.3,154.2
7,2016,349.77,154.2
8,2016,242.52,156
9,2016,198.41,156.9
10,2016,66.06,157.7
11,2016,14.47,159.1
12,2016,23.77,160.2
1,2017,25.45,159.9
2,2017,9.14,165.6
3,2017,33.61,183.1
4,2017,47.88,126
5,2017,77.32,127.8
6,2017,232.57,129.3
7,2017,322.08,134.1
8,2017,277.41,139.3
9,2017,191,140.2
10,2017,103.78,137.2
11,2017,22.35,135.6
12,2017,25.34,133.2
1,2018,16.3,138.8
2,2018,22.5,139.2
3,2018,28,139
4,2018,40.52,139.8
5,2018,82.2,134.6
6,2018,155.7,137.8
7,2018,273.8,134.8
8,2018,240.5,136
9,2018,132.3,139.6
10,2018,70.33,143.5
11,2018,23.6,150.5
12,2018,15.4,155.5
1,2019,16.3,178.8
2,2019,22.5,179.2
3,2019,28,179
4,2019,40.52,180.8
5,2019,82.2,180.6
6,2019,155.7,181.8
7,2019,273.8,182.8
8,2019,240.5,183
9,2019,132.3,184.6
10,2019,70.33,185.5
11,2019,23.6,185.5
12,2019,15.4,185.5
1,2020,16.3,166.8
2,2020,22.5,166.2
3,2020,28,165
4,2020,40.52,165.8
5,2020,82.2,165.6
6,2020,155.7,165.8
7,2020,273.8,164.8
8,2020,240.5,164
9,2020,132.3,163.6
10,2020,70.33,163.5
11,2020,23.6,162.5
12,2020,15.4,162.5
1,2021,16.3,184.8
2,2021,22.5,185.2
3,2021,28,186
4,2021,40.52,187.8
5,2021,82.2,187.6
6,2021,155.7,188.8
7,2021,273.8,189.8
8,2021,240.5,190
9,2021,132.3,192.6
10,2021,70.33,193.5
11,2021,23.6,195.5
12,2021,15.4,196.5
