Month,Year,Rainfall,WPI
1,2004,20.9,100.5
2,2004,9.84,99.9
3,2004,14.33,102.6
4,2004,54.81,101.7
5,2004,120.21,103.1
6,2004,221.8,101.5
7,2004,293.62,100.6
8,2004,275.96,97.8
9,2004,150,97
10,2004,107.22,99.5
11,2004,25.32,98.1
12,2004,5.06,98.1
1,2005,30.15,100.4
2,2005,34.56,99.8
3,2005,40.99,101.5
4,2005,45.2,101.4
5,2005,65.05,103.5
6,2005,201.71,101.8
7,2005,393.3,102.5
8,2005,230.8,97
9,2005,237.58,98.6
10,2005,117.78,101.7
11,2005,40.25,109.6
12,2005,18.93,107.2
1,2006,12.29,108.2
2,2006,9.34,109.2
3,2006,34.61,111.9
4,2006,37.06,113.4
5,2006,122.76,114.9
6,2006,207.46,116.8
7,2006,339.33,115.4
8,2006,305.18,114.1
9,2006,211.98,122.8
10,2006,77.23,128.4
11,2006,38.45,134
12,2006,11.08,127.5
1,2007,2.43,124.4
2,2007,34.83,129.3
3,2007,28.65,138.1
4,2007,42.29,131.5
5,2007,72.11,121.5
6,2007,270.4,123.1
7,2007,363.05,126.3
8,2007,310.5,129.2
9,2007,270.61,132.5
10,2007,76.21,127.1
11,2007,24,128.8
12,2007,18.95,137.8
1,2008,19.41,137.6
2,2008,17.78,157.5
3,2008,50.4,164.9
4,2008,40.5,169.1
5,2008,69.56,177.6
6,2008,259.4,176.4
7,2008,293.27,173.5
8,2008,307.08,162.7
9,2008,192.55,159.6
10,2008,71.02,159.8
11,2008,33.34,162.8
12,2008,13.02,168.2
1,2009,8.24,163.5
2,2009,10.63,160.3
3,2009,17.09,160.2
4,2009,30.67,174.5
5,2009,79.55,194.4
6,2009,137.04,201.6
7,2009,342.42,242
8,2009,220.29,249.2
9,2009,174.61,247.4
10,2009,93.45,247.4
11,2009,61.28,251.2
12,2009,15.37,254.4
1,2010,9.83,252.5
2,2010,12.7,246.2
3,2010,18.55,241.5
4,2010,49.19,253.2
5,2010,86.26,246.9
6,2010,204.78,252
7,2010,358.325,254.4
8,2010,302.26,249.7
9,2010,217.91,240.9
10,2010,94.18,242.7
11,2010,74.48,245.6
12,2010,28.58,249.7
1,2011,14.35,247.4
2,2011,22.45,247.4
3,2011,28.07,240.3
4,2011,48.84,198.1
5,2011,71.55,194.8
6,2011,245.43,178.1
7,2011,324.65,187
8,2011,329.4,187.6
9,2011,218.18,183.4
10,2011,55.4,201.4
11,2011,29.98,212.2
12,2011,12.85,214.9
1,2012,27.62,220.2
2,2012,9.66,230.3
3,2012,12.2,237.5
4,2012,57.91,256.1
5,2012,50.87,257.9
6,2012,184.66,245.3
7,2012,287.23,276.6
8,2012,294.01,309.3
9,2012,231.39,316.6
10,2012,77.68,300.4
11,2012,38.55,295.9
12,2012,13.84,337.4
1,2013,12.1,392.4
2,2013,36.56,374.7
3,2013,17.47,386.2
4,2013,31.6,380.8
5,2013,82.8,349.4
6,2013,297.41,366.1
7,2013,372.56,380.9
8,2013,264.33,382.3
9,2013,179.24,396.4
10,2013,144.81,395.8
11,2013,27.39,457.2
12,2013,8.81,486.8
1,2014,16.18,473
2,2014,25.64,464.1
3,2014,29.44,477.6
4,2014,22.05,477.1
5,2014,91.01,438.9
6,2014,142.26,408.3
7,2014,309.73,436.2
8,2014,291.225,460
9,2014,198.37,437
10,2014,81.15,435.6
11,2014,21.11,428.9
12,2014,16.16,411.5
1,2015,19.05,404.1
2,2015,16.82,392.9
3,2015,51.73,375.9
4,2015,76.22,349.1
5,2015,75.52,324
6,2015,239.35,347.4
7,2015,269.87,347.5
8,2015,235.71,336.1
9,2015,158.06,307.3
10,2015,61.23,304.8
11,2015,55.56,301.1
12,2015,21.41,291.4
1,2016,10.25,294.9
2,2016,10.52,276.8
3,2016,27.33,269.8
4,2016,31.91,302
5,2016,84.33,323.1
6,2016,214.3,316.3
7,2016,349.77,293.7
8,2016,242.52,328.9
9,2016,198.41,323.2
10,2016,66.06,313.9
11,2016,14.47,312
12,2016,23.77,317.9
1,2017,25.45,305.3
2,2017,9.14,311.4
3,2017,33.61,300.8
4,2017,47.88,116.4
5,2017,77.32,116.3
6,2017,232.57,114.3
7,2017,322.08,113.2
8,2017,277.41,115.9
9,2017,191,119.7
10,2017,103.78,118.5
11,2017,22.35,120.4
12,2017,25.34,128.3
1,2018,16.3,132.2
2,2018,22.5,133.4
3,2018,28,130.1
4,2018,40.52,128.1
5,2018,82.2,126.8
6,2018,155.7,128.1
7,2018,273.8,130
8,2018,240.5,133.9
9,2018,132.3,141.3
10,2018,70.33,150.1
11,2018,23.6,160.8
12,2018,15.4,168.8
1,2019,16.3,171.2
2,2019,22.5,171.4
3,2019,28,172.1
4,2019,40.52,172.1
5,2019,82.2,173.8
6,2019,155.7,173.1
7,2019,273.8,174
8,2019,240.5,175.9
9,2019,132.3,175.3
10,2019,70.33,175.1
11,2019,23.6,175.8
12,2019,15.4,175.8
1,2020,16.3,185.2
2,2020,22.5,185.4
3,2020,28,185.1
4,2020,40.52,184.1
5,2020,82.2,184.8
6,2020,155.7,183.1
7,2020,273.8,183
8,2020,240.5,183.9
9,2020,132.3,182.3
10,2020,70.33,182.1
11,2020,23.6,182.8
12,2020,15.4,182.8
1,2021,16.3,179.2
2,2021,22.5,179.4
3,2021,28,180.1
4,2021,40.52,180.1
5,2021,82.2,181.8
6,2021,155.7,181.1
7,2021,273.8,181
8,2021,240.5,181.9
9,2021,132.3,182.3
10,2021,70.33,182.1
11,2021,23.6,182.8
12,2021,15.4,182.8
