Month,Year,Rainfall,WPI
1,2004,20.9,92.5
2,2004,9.84,88.6
3,2004,14.33,90.6
4,2004,54.81,98.8
5,2004,120.21,107.6
6,2004,221.8,106.5
7,2004,293.62,112.5
8,2004,275.96,113.6
9,2004,150,110.9
10,2004,107.22,98.9
11,2004,25.32,88.2
12,2004,5.06,91.3
1,2005,30.15,91.8
2,2005,34.56,87.3
3,2005,40.99,89.8
4,2005,45.2,90
5,2005,65.05,87.5
6,2005,201.71,90
7,2005,393.3,88.9
8,2005,230.8,87
9,2005,237.58,87.7
10,2005,117.78,84
11,2005,40.25,82
12,2005,18.93,66.8
1,2006,12.29,72.8
2,2006,9.34,74.7
3,2006,34.61,73
4,2006,37.06,73.1
5,2006,122.76,75.5
6,2006,207.46,76.2
7,2006,339.33,76.6
8,2006,305.18,74.7
9,2006,211.98,74
10,2006,77.23,73.8
11,2006,38.45,78.7
12,2006,11.08,91.3
1,2007,2.43,84
2,2007,34.83,87.3
3,2007,28.65,88.4
4,2007,42.29,94.8
5,2007,72.11,95.1
6,2007,270.4,95.2
7,2007,363.05,95.7
8,2007,310.5,93.6
9,2007,270.61,94.4
10,2007,76.21,94.8
11,2007,24,98.1
12,2007,18.95,100.5
1,2008,19.41,111.8
2,2008,17.78,104.6
3,2008,50.4,129.2
4,2008,40.5,127.2
5,2008,69.56,127.8
6,2008,259.4,131.7
7,2008,293.27,135.5
8,2008,307.08,129.6
9,2008,192.55,130.1
10,2008,71.02,125
11,2008,33.34,133.3
12,2008,13.02,119
1,2009,8.24,128
2,2009,10.63,132.6
3,2009,17.09,137.2
4,2009,30.67,138.7
5,2009,79.55,153
6,2009,137.04,152.4
7,2009,342.42,143.2
8,2009,220.29,140.3
9,2009,174.61,135.2
10,2009,93.45,129.1
11,2009,61.28,137.8
12,2009,15.37,137.8
1,2010,9.83,143.5
2,2010,12.7,144
3,2010,18.55,139.9
4,2010,49.19,139.9
5,2010,86.26,137
6,2010,204.78,132.7
7,2010,358.325,126.6
8,2010,302.26,117.8
9,2010,217.91,117.1
10,2010,94.18,117.1
11,2010,74.48,118.2
12,2010,28.58,125.9
1,2011,14.35,128.1
2,2011,22.45,140
3,2011,28.07,140.2
4,2011,48.84,139.8
5,2011,71.55,141.3
6,2011,245.43,141.4
7,2011,324.65,136.7
8,2011,329.4,141.1
9,2011,218.18,136.8
10,2011,55.4,124.8
11,2011,29.98,129.5
12,2011,12.85,137.2
1,2012,27.62,148.8
2,2012,9.66,150.9
3,2012,12.2,161
4,2012,57.91,182.7
5,2012,50.87,202.5
6,2012,184.66,208.1
7,2012,287.23,244.8
8,2012,294.01,257.9
9,2012,231.39,241.4
10,2012,77.68,189.1
11,2012,38.55,200.5
12,2012,13.84,203
1,2013,12.1,200.3
2,2013,36.56,199
3,2013,17.47,213
4,2013,31.6,240.8
5,2013,82.8,247.4
6,2013,297.41,231.1
7,2013,372.56,231.2
8,2013,264.33,203.9
9,2013,179.24,211.9
10,2013,144.81,209.8
11,2013,27.39,228.4
12,2013,8.81,223.8
1,2014,16.18,220.5
2,2014,25.64,228.9
3,2014,29.44,238.2
4,2014,22.05,243.7
5,2014,91.01,268.2
6,2014,142.26,244.4
7,2014,309.73,241.9
8,2014,291.225,231.6
9,2014,198.37,202.4
10,2014,81.15,181
11,2014,21.11,187.8
12,2014,16.16,196.6
1,2015,19.05,203.2
2,2015,16.82,199.4
3,2015,51.73,197.4
4,2015,76.22,200.9
5,2015,75.52,230.9
6,2015,239.35,217.6
7,2015,269.87,203.9
8,2015,235.71,191.7
9,2015,158.06,194
10,2015,61.23,220.3
11,2015,55.56,220
12,2015,21.41,212.7
1,2016,10.25,208.7
2,2016,10.52,207.8
3,2016,27.33,211.5
4,2016,31.91,227.4
5,2016,84.33,223.1
6,2016,214.3,224.1
7,2016,349.77,216.3
8,2016,242.52,212.6
9,2016,198.41,201.3
10,2016,66.06,180.9
11,2016,14.47,173.1
12,2016,23.77,175.4
1,2017,25.45,178.1
2,2017,9.14,174.1
3,2017,33.61,170.4
4,2017,47.88,126.8
5,2017,77.32,123.4
6,2017,232.57,121.2
7,2017,322.08,121.6
8,2017,277.41,122.8
9,2017,191,124.8
10,2017,103.78,126
11,2017,22.35,122.2
12,2017,25.34,125.3
1,2018,16.3,136.6
2,2018,22.5,152.2
3,2018,28,156
4,2018,40.52,157.5
5,2018,82.2,155.9
6,2018,155.7,153.1
7,2018,273.8,150.1
8,2018,240.5,147.1
9,2018,132.3,142.9
10,2018,70.33,140.2
11,2018,23.6,141.6
12,2018,15.4,143.9
1,2019,16.3,160.6
2,2019,22.5,160.2
3,2019,28,161
4,2019,40.52,161.5
5,2019,82.2,162.9
6,2019,155.7,162.1
7,2019,273.8,163.1
8,2019,240.5,163.1
9,2019,132.3,163.9
10,2019,70.33,164.2
11,2019,23.6,164.6
12,2019,15.4,164.9
1,2020,16.3,167.6
2,2020,22.5,167.2
3,2020,28,168
4,2020,40.52,168.5
5,2020,82.2,169.9
6,2020,155.7,169.1
7,2020,273.8,170.1
8,2020,240.5,170.1
9,2020,132.3,171.9
10,2020,70.33,171.2
11,2020,23.6,172.6
12,2020,15.4,174.9
1,2021,16.3,260.0
2,2021,22.5,262.2
3,2021,28,264
4,2021,40.52,266.5
5,2021,82.2,268.9
6,2021,155.7,269.1
7,2021,273.8,271.1
8,2021,240.5,272.1
9,2021,132.3,274.9
10,2021,70.33,276.2
11,2021,23.6,278.6
12,2021,15.4,280.0
