Month,Year,Rainfall,WPI
1,2004,20.9,100.5
2,2004,9.84,100.5
3,2004,14.33,100.5
4,2004,54.81,100.5
5,2004,120.21,100.5
6,2004,221.8,100.5
7,2004,293.62,100.5
8,2004,275.96,100.2
9,2004,150,99.2
10,2004,107.22,99.4
11,2004,25.32,99.8
12,2004,5.06,99.8
1,2005,30.15,99.8
2,2005,34.56,99.8
3,2005,40.99,99.8
4,2005,45.2,99.8
5,2005,65.05,99.8
6,2005,201.71,99.8
7,2005,393.3,99.8
8,2005,230.8,99.8
9,2005,237.58,99.8
10,2005,117.78,100
11,2005,40.25,100.6
12,2005,18.93,100.6
1,2006,12.29,100.6
2,2006,9.34,100.6
3,2006,34.61,100.6
4,2006,37.06,100.6
5,2006,122.76,100.6
6,2006,207.46,100.6
7,2006,339.33,100.6
8,2006,305.18,100.6
9,2006,211.98,100.6
10,2006,77.23,100.6
11,2006,38.45,100.6
12,2006,11.08,100.8
1,2007,2.43,101.8
2,2007,34.83,101.8
3,2007,28.65,101.8
4,2007,42.29,101.8
5,2007,72.11,101.8
6,2007,270.4,101.8
7,2007,363.05,101.8
8,2007,310.5,101.8
9,2007,270.61,101.8
10,2007,76.21,101.8
11,2007,24,101.8
12,2007,18.95,101.6
1,2008,19.41,101.3
2,2008,17.78,101.3
3,2008,50.4,101.3
4,2008,40.5,101.3
5,2008,69.56,101.3
6,2008,259.4,101.3
7,2008,293.27,101.3
8,2008,307.08,101.3
9,2008,192.55,101.3
10,2008,71.02,101.3
11,2008,33.34,101.3
12,2008,13.02,101.3
1,2009,8.24,101.3
2,2009,10.63,101.3
3,2009,17.09,101.3
4,2009,30.67,101.3
5,2009,79.55,101.3
6,2009,137.04,101.3
7,2009,342.42,101.3
8,2009,220.29,101.3
9,2009,174.61,101.3
10,2009,93.45,101.3
11,2009,61.28,103.1
12,2009,15.37,103.7
1,2010,9.83,103.7
2,2010,12.7,103.7
3,2010,18.55,155.3
4,2010,49.19,155.3
5,2010,86.26,155.3
6,2010,204.78,155.3
7,2010,358.325,155.3
8,2010,302.26,155.3
9,2010,217.91,155.3
10,2010,94.18,155.3
11,2010,74.48,155.3
12,2010,28.58,155.3
1,2011,14.35,155.3
2,2011,22.45,157.9
3,2011,28.07,166.4
4,2011,48.84,166.4
5,2011,71.55,166.4
6,2011,245.43,166.4
7,2011,324.65,166.4
8,2011,329.4,166.4
9,2011,218.18,166.4
10,2011,55.4,166.4
11,2011,29.98,166.4
12,2011,12.85,166.4
1,2012,27.62,166.4
2,2012,9.66,166.4
3,2012,12.2,166.4
4,2012,57.91,166.4
5,2012,50.87,166.4
6,2012,184.66,172.9
7,2012,287.23,168.4
8,2012,294.01,174.5
9,2012,231.39,174.5
10,2012,77.68,174.5
11,2012,38.55,174.5
12,2012,13.84,174.5
1,2013,12.1,174.5
2,2013,36.56,174.5
3,2013,17.47,174.5
4,2013,31.6,174.5
5,2013,82.8,174.5
6,2013,297.41,174.5
7,2013,372.56,174.5
8,2013,264.33,174.5
9,2013,179.24,174.5
10,2013,144.81,182.5
11,2013,27.39,206.8
12,2013,8.81,206.8
1,2014,16.18,206.8
2,2014,25.64,206.8
3,2014,29.44,206.8
4,2014,22.05,206.8
5,2014,91.01,206.8
6,2014,142.26,206.8
7,2014,309.73,206.8
8,2014,291.225,206.8
9,2014,198.37,206.8
10,2014,81.15,206.8
11,2014,21.11,206.8
12,2014,16.16,206.8
1,2015,19.05,206.8
2,2015,16.82,206.8
3,2015,51.73,206.8
4,2015,76.22,250.1
5,2015,75.52,250.1
6,2015,239.35,250.1
7,2015,269.87,250.1
8,2015,235.71,250.1
9,2015,158.06,250.1
10,2015,61.23,250.1
11,2015,55.56,250.1
12,2015,21.41,250.1
1,2016,10.25,265.7
2,2016,10.52,265.7
3,2016,27.33,265.7
4,2016,31.91,265.7
5,2016,84.33,265.7
6,2016,214.3,265.7
7,2016,349.77,265.7
8,2016,242.52,265.7
9,2016,198.41,265.7
10,2016,66.06,278.9
11,2016,14.47,278.9
12,2016,23.77,278.9
1,2017,25.45,278.9
2,2017,9.14,278.9
3,2017,33.61,278.9
4,2017,47.88,278.9
5,2017,77.32,278.9
6,2017,232.57,278.9
7,2017,322.08,278.9
8,2017,277.41,278.9
9,2017,191,278.9
10,2017,103.78,278.9
11,2017,22.35,278.9
12,2017,25.34,278.9
1,2018,16.3,292.6
2,2018,22.5,292.6
