Month,Year,Rainfall,WPI
1,2004,20.9,99.9
2,2004,9.84,100
3,2004,14.33,101.5
4,2004,54.81,99.4
5,2004,120.21,98
6,2004,221.8,95.4
7,2004,293.62,102.2
8,2004,275.96,102.4
9,2004,150,111.9
10,2004,107.22,90.1
11,2004,25.32,101.3
12,2004,5.06,100.7
1,2005,30.15,100
2,2005,34.56,99.3
3,2005,40.99,101.6
4,2005,45.2,101.2
5,2005,65.05,101.6
6,2005,201.71,101.6
7,2005,393.3,104.9
8,2005,230.8,104.6
9,2005,237.58,103.9
10,2005,117.78,91.8
11,2005,40.25,89.4
12,2005,18.93,89.6
1,2006,12.29,88.5
2,2006,9.34,87
3,2006,34.61,87.6
4,2006,37.06,91.9
5,2006,122.76,91.5
6,2006,207.46,94.5
7,2006,339.33,98.1
8,2006,305.18,96
9,2006,211.98,94.6
10,2006,77.23,85.5
11,2006,38.45,88.2
12,2006,11.08,106.7
1,2007,2.43,124.3
2,2007,34.83,128.2
3,2007,28.65,120.2
4,2007,42.29,117.6
5,2007,72.11,115.3
6,2007,270.4,118.5
7,2007,363.05,131.2
8,2007,310.5,126.8
9,2007,270.61,129.1
10,2007,76.21,132.5
11,2007,24,132.8
12,2007,18.95,131.2
1,2008,19.41,142.7
2,2008,17.78,152
3,2008,50.4,154.2
4,2008,40.5,138.4
5,2008,69.56,137.7
6,2008,259.4,141.1
7,2008,293.27,141.9
8,2008,307.08,134.4
9,2008,192.55,135.7
10,2008,71.02,130.2
11,2008,33.34,126.1
12,2008,13.02,121.6
1,2009,8.24,119.6
2,2009,10.63,121.3
3,2009,17.09,122.2
4,2009,30.67,124.5
5,2009,79.55,129.1
6,2009,137.04,127
7,2009,342.42,124.2
8,2009,220.29,124.4
9,2009,174.61,122.5
10,2009,93.45,119
11,2009,61.28,115.3
12,2009,15.37,125.3
1,2010,9.83,132.3
2,2010,12.7,125.2
3,2010,18.55,127.8
4,2010,49.19,120.1
5,2010,86.26,121.2
6,2010,204.78,121
7,2010,358.325,120.6
8,2010,302.26,129.9
9,2010,217.91,122.2
10,2010,94.18,139.6
11,2010,74.48,147.7
12,2010,28.58,162.6
1,2011,14.35,166.1
2,2011,22.45,173.9
3,2011,28.07,164.3
4,2011,48.84,166
5,2011,71.55,161.6
6,2011,245.43,159.9
7,2011,324.65,169.4
8,2011,329.4,165.3
9,2011,218.18,166.9
10,2011,55.4,156.5
11,2011,29.98,156.4
12,2011,12.85,161.6
1,2012,27.62,160.4
2,2012,9.66,160.7
3,2012,12.2,167.8
4,2012,57.91,168.9
5,2012,50.87,174.7
6,2012,184.66,178.4
7,2012,287.23,175.8
8,2012,294.01,177.7
9,2012,231.39,179.5
10,2012,77.68,184.3
11,2012,38.55,186.6
12,2012,13.84,198.2
1,2013,12.1,179.7
2,2013,36.56,188.1
3,2013,17.47,188.7
4,2013,31.6,189.2
5,2013,82.8,190.1
6,2013,297.41,191.7
7,2013,372.56,193.3
8,2013,264.33,197.6
9,2013,179.24,202.7
10,2013,144.81,195.1
11,2013,27.39,193.6
12,2013,8.81,196
1,2014,16.18,196.5
2,2014,25.64,191.8
3,2014,29.44,188
4,2014,22.05,186.3
5,2014,91.01,185
6,2014,142.26,187.9
7,2014,309.73,185
8,2014,291.225,185.1
9,2014,198.37,185.1
10,2014,81.15,184.2
11,2014,21.11,175.6
12,2014,16.16,181.3
1,2015,19.05,177.4
2,2015,16.82,180
3,2015,51.73,186.9
4,2015,76.22,186.6
5,2015,75.52,190.8
6,2015,239.35,192.7
7,2015,269.87,188.7
8,2015,235.71,190.6
9,2015,158.06,194.3
10,2015,61.23,195.2
11,2015,55.56,198.3
12,2015,21.41,200
1,2016,10.25,197.9
2,2016,10.52,199.3
3,2016,27.33,199.8
4,2016,31.91,196.1
5,2016,84.33,185.1
6,2016,214.3,187.3
7,2016,349.77,187.3
8,2016,242.52,185.5
9,2016,198.41,195.7
10,2016,66.06,191.1
11,2016,14.47,169.3
12,2016,23.77,163.8
1,2017,25.45,171.1
2,2017,9.14,168.1
3,2017,33.61,165.3
4,2017,47.88,104.2
5,2017,77.32,102.6
6,2017,232.57,96.8
7,2017,322.08,94.5
8,2017,277.41,98.4
9,2017,191,99.1
10,2017,103.78,99.2
11,2017,22.35,100.2
12,2017,25.34,99.8
1,2018,16.3,100.6
2,2018,22.5,104.8
3,2018,28,107.2
4,2018,40.52,98.9
5,2018,82.2,101.3
6,2018,155.7,104.8
7,2018,273.8,105.9
8,2018,240.5,111.4
9,2018,132.3,116.6
10,2018,70.33,116.8
11,2018,23.6,117.5
12,2018,15.4,118.2
1,2019,16.3,121.6
2,2019,22.5,121.8
3,2019,28,121.2
4,2019,40.52,121.9
5,2019,82.2,121.3
6,2019,155.7,121.8
7,2019,273.8,121.9
8,2019,240.5,121.4
9,2019,132.3,121.6
10,2019,70.33,121.8
11,2019,23.6,121.5
12,2019,15.4,121.2
1,2020,16.3,119.6
2,2020,22.5,119.8
3,2020,28,120.2
4,2020,40.52,121.9
5,2020,82.2,122.3
6,2020,155.7,123.8
7,2020,273.8,123.9
8,2020,240.5,124.4
9,2020,132.3,125.6
10,2020,70.33,127.8
11,2020,23.6,128.5
12,2020,15.4,129.2
1,2021,16.3,168.6
2,2021,22.5,168.8
3,2021,28,168.2
4,2021,40.52,169.9
5,2021,82.2,169.3
6,2021,155.7,170.8
7,2021,273.8,170.9
8,2021,240.5,171.4
9,2021,132.3,171.6
10,2021,70.33,172.8
11,2021,23.6,173.5
12,2021,15.4,174.2
