Month,Year,Rainfall,WPI
1,2004,20.9,101.2
2,2004,9.84,102
3,2004,14.33,104
4,2004,54.81,96.1
5,2004,120.21,95.4
6,2004,221.8,94.7
7,2004,293.62,96.7
8,2004,275.96,99.8
9,2004,150,100.8
10,2004,107.22,103.3
11,2004,25.32,103.8
12,2004,5.06,102.5
1,2005,30.15,102.3
2,2005,34.56,103
3,2005,40.99,102
4,2005,45.2,105.1
5,2005,65.05,110.4
6,2005,201.71,114.3
7,2005,393.3,117.1
8,2005,230.8,119.6
9,2005,237.58,122.3
10,2005,117.78,129.1
11,2005,40.25,149.7
12,2005,18.93,154.5
1,2006,12.29,148
2,2006,9.34,150.6
3,2006,34.61,152.3
4,2006,37.06,171.8
5,2006,122.76,179.2
6,2006,207.46,186.1
7,2006,339.33,184.9
8,2006,305.18,187.9
9,2006,211.98,200
10,2006,77.23,217.3
11,2006,38.45,209.3
12,2006,11.08,201.7
1,2007,2.43,187.5
2,2007,34.83,190.5
3,2007,28.65,179.8
4,2007,42.29,179.2
5,2007,72.11,173.8
6,2007,270.4,170.6
7,2007,363.05,171.8
8,2007,310.5,170.5
9,2007,270.61,166
10,2007,76.21,165.1
11,2007,24,151.4
12,2007,18.95,146.4
1,2008,19.41,137.9
2,2008,17.78,137.6
3,2008,50.4,146.9
4,2008,40.5,148.5
5,2008,69.56,145.4
6,2008,259.4,147.3
7,2008,293.27,154.3
8,2008,307.08,161.3
9,2008,192.55,163.4
10,2008,71.02,164
11,2008,33.34,163.7
12,2008,13.02,164.7
1,2009,8.24,165.8
2,2009,10.63,168.6
3,2009,17.09,170.4
4,2009,30.67,178.7
5,2009,79.55,180
6,2009,137.04,183.2
7,2009,342.42,196.4
8,2009,220.29,211.9
9,2009,174.61,215.4
10,2009,93.45,233.7
11,2009,61.28,263.5
12,2009,15.37,273.9
1,2010,9.83,283.1
2,2010,12.7,266.1
3,2010,18.55,255.3
4,2010,49.19,261.6
5,2010,86.26,275.7
6,2010,204.78,287.2
7,2010,358.325,294.2
8,2010,302.26,294.9
9,2010,217.91,292.6
10,2010,94.18,285.5
11,2010,74.48,260.2
12,2010,28.58,255.5
1,2011,14.35,252.1
2,2011,22.45,250.1
3,2011,28.07,251.4
4,2011,48.84,256.8
5,2011,71.55,257.9
6,2011,245.43,258.3
7,2011,324.65,244.5
8,2011,329.4,237
9,2011,218.18,240.1
10,2011,55.4,245.7
11,2011,29.98,242
12,2011,12.85,228.4
1,2012,27.62,227.4
2,2012,9.66,222.8
3,2012,12.2,219.1
4,2012,57.91,215.6
5,2012,50.87,214.7
6,2012,184.66,215.6
7,2012,287.23,225.7
8,2012,294.01,239.9
9,2012,231.39,244.3
10,2012,77.68,234.6
11,2012,38.55,227.8
12,2012,13.84,226.1
1,2013,12.1,226.6
2,2013,36.56,230
3,2013,17.47,231.1
4,2013,31.6,230.3
5,2013,82.8,229.8
6,2013,297.41,225.6
7,2013,372.56,227.5
8,2013,264.33,227
9,2013,179.24,226.9
10,2013,144.81,228.2
11,2013,27.39,233.7
12,2013,8.81,237.9
1,2014,16.18,243.3
2,2014,25.64,247.2
3,2014,29.44,254.4
4,2014,22.05,255.6
5,2014,91.01,263.8
6,2014,142.26,269.7
7,2014,309.73,284.6
8,2014,291.225,295.7
9,2014,198.37,297.4
10,2014,81.15,288.4
11,2014,21.11,288.8
12,2014,16.16,287.7
1,2015,19.05,308.2
2,2015,16.82,309.7
3,2015,51.73,310.1
4,2015,76.22,317.9
5,2015,75.52,340.9
6,2015,239.35,379.9
7,2015,269.87,390.4
8,2015,235.71,400.2
9,2015,158.06,409.2
10,2015,61.23,475.1
11,2015,55.56,509.6
12,2015,21.41,523.1
1,2016,10.25,514.3
2,2016,10.52,500.2
3,2016,27.33,495.6
4,2016,31.91,505.5
5,2016,84.33,562.3
6,2016,214.3,604.5
7,2016,349.77,611.4
8,2016,242.52,576.7
9,2016,198.41,507
10,2016,66.06,478.5
11,2016,14.47,463.6
12,2016,23.77,441.2
1,2017,25.45,412.8
2,2017,9.14,390.8
3,2017,33.61,370.2
4,2017,47.88,149.5
5,2017,77.32,149.7
6,2017,232.57,140.8
7,2017,322.08,134.1
8,2017,277.41,127.2
9,2017,191,129.1
10,2017,103.78,127.7
11,2017,22.35,123.7
12,2017,25.34,121
1,2018,16.3,114.8
2,2018,22.5,112.6
3,2018,28,112.1
4,2018,40.52,110.5
5,2018,82.2,108.4
6,2018,155.7,105.9
7,2018,273.8,106.9
8,2018,240.5,109.8
9,2018,132.3,107.6
10,2018,70.33,111
11,2018,23.6,118.6
12,2018,15.4,123.3
1,2019,16.3,135.8
2,2019,22.5,136.6
3,2019,28,137.1
4,2019,40.52,138.5
5,2019,82.2,139.4
6,2019,155.7,140.9
7,2019,273.8,142.9
8,2019,240.5,144.8
9,2019,132.3,145.6
10,2019,70.33,146
11,2019,23.6,147.6
12,2019,15.4,149.3
1,2020,16.3,182.8
2,2020,22.5,182.6
3,2020,28,182.1
4,2020,40.52,183.5
5,2020,82.2,183.4
6,2020,155.7,184.9
7,2020,273.8,184.9
8,2020,240.5,184.8
9,2020,132.3,185.6
10,2020,70.33,186
11,2020,23.6,186.6
12,2020,15.4,186.3
1,2021,16.3,188.8
2,2021,22.5,187.6
3,2021,28,187.1
4,2021,40.52,186.5
5,2021,82.2,186.4
6,2021,155.7,185.9
7,2021,273.8,185.9
8,2021,240.5,184.8
9,2021,132.3,184.6
10,2021,70.33,184
11,2021,23.6,183.6
12,2021,15.4,183.3
