Month,Year,Rainfall,WPI
1,2004,20.9,100.6
2,2004,9.84,101.6
3,2004,14.33,100.4
4,2004,54.81,94.8
5,2004,120.21,95
6,2004,221.8,95.6
7,2004,293.62,95.4
8,2004,275.96,98.4
9,2004,150,98.8
10,2004,107.22,99
11,2004,25.32,121.7
12,2004,5.06,101.1
1,2005,30.15,100.8
2,2005,34.56,101.1
3,2005,40.99,100.8
4,2005,45.2,95.8
5,2005,65.05,96.1
6,2005,201.71,98.1
7,2005,393.3,100.3
8,2005,230.8,100.6
9,2005,237.58,101.3
10,2005,117.78,103.5
11,2005,40.25,104.7
12,2005,18.93,107
1,2006,12.29,116.7
2,2006,9.34,119.4
3,2006,34.61,116.7
4,2006,37.06,111.6
5,2006,122.76,114.4
6,2006,207.46,116.3
7,2006,339.33,115.9
8,2006,305.18,119.1
9,2006,211.98,125.6
10,2006,77.23,127.4
11,2006,38.45,134.9
12,2006,11.08,137.1
1,2007,2.43,135.8
2,2007,34.83,134.8
3,2007,28.65,128.6
4,2007,42.29,130.1
5,2007,72.11,128.8
6,2007,270.4,127.9
7,2007,363.05,131.6
8,2007,310.5,133.1
9,2007,270.61,133.1
10,2007,76.21,135.5
11,2007,24,137.7
12,2007,18.95,137.1
1,2008,19.41,137.6
2,2008,17.78,139
3,2008,50.4,139.9
4,2008,40.5,146.7
5,2008,69.56,146.4
6,2008,259.4,145.6
7,2008,293.27,147.1
8,2008,307.08,147
9,2008,192.55,146.6
10,2008,71.02,144.8
11,2008,33.34,145.9
12,2008,13.02,147
1,2009,8.24,150.7
2,2009,10.63,152.3
3,2009,17.09,150.7
4,2009,30.67,155.7
5,2009,79.55,158
6,2009,137.04,158.4
7,2009,342.42,157.5
8,2009,220.29,156.5
9,2009,174.61,159.1
10,2009,93.45,163.3
11,2009,61.28,174
12,2009,15.37,180.8
1,2010,9.83,182.1
2,2010,12.7,179.4
3,2010,18.55,172.8
4,2010,49.19,168.9
5,2010,86.26,168.1
6,2010,204.78,168.8
7,2010,358.325,167.8
8,2010,302.26,172.5
9,2010,217.91,171.6
10,2010,94.18,168.2
11,2010,74.48,172.7
12,2010,28.58,173.3
1,2011,14.35,175.2
2,2011,22.45,177.1
3,2011,28.07,173.1
4,2011,48.84,169.2
5,2011,71.55,167.4
6,2011,245.43,168.7
7,2011,324.65,170.8
8,2011,329.4,168.9
9,2011,218.18,166.9
10,2011,55.4,165.3
11,2011,29.98,164.3
12,2011,12.85,166.6
1,2012,27.62,169.2
2,2012,9.66,170.1
3,2012,12.2,172.1
4,2012,57.91,179.3
5,2012,50.87,178.7
6,2012,184.66,180.1
7,2012,287.23,181.8
8,2012,294.01,190.8
9,2012,231.39,198.4
10,2012,77.68,198
11,2012,38.55,202.5
12,2012,13.84,204.3
1,2013,12.1,206.2
2,2013,36.56,207.2
3,2013,17.47,205.4
4,2013,31.6,203.6
5,2013,82.8,200.8
6,2013,297.41,205.2
7,2013,372.56,206.6
8,2013,264.33,208.7
9,2013,179.24,212.9
10,2013,144.81,213.6
11,2013,27.39,216.7
12,2013,8.81,219.9
1,2014,16.18,220.2
2,2014,25.64,220.9
3,2014,29.44,218.1
4,2014,22.05,212.6
5,2014,91.01,207.7
6,2014,142.26,207
7,2014,309.73,208.8
8,2014,291.225,210.2
9,2014,198.37,209.8
10,2014,81.15,209.5
11,2014,21.11,211.9
12,2014,16.16,214.7
1,2015,19.05,216.6
2,2015,16.82,215.6
3,2015,51.73,215.5
4,2015,76.22,216.1
5,2015,75.52,213.1
6,2015,239.35,210.8
7,2015,269.87,212.9
8,2015,235.71,214.6
9,2015,158.06,216.7
10,2015,61.23,219.1
11,2015,55.56,221.3
12,2015,21.41,223.1
1,2016,10.25,228.6
2,2016,10.52,228.6
3,2016,27.33,228.2
4,2016,31.91,226.9
5,2016,84.33,227.7
6,2016,214.3,231.5
7,2016,349.77,233.8
8,2016,242.52,236.8
9,2016,198.41,238.3
10,2016,66.06,239.2
11,2016,14.47,251.9
12,2016,23.77,258.3
1,2017,25.45,256.6
2,2017,9.14,253.9
3,2017,33.61,238.8
4,2017,47.88,141
5,2017,77.32,137.5
6,2017,232.57,136.1
7,2017,322.08,136.3
8,2017,277.41,137.1
9,2017,191,137.6
10,2017,103.78,138
11,2017,22.35,139.4
12,2017,25.34,139.4
1,2018,16.3,140.8
2,2018,22.5,140
3,2018,28,141.2
4,2018,40.52,140.9
5,2018,82.2,141.7
6,2018,155.7,143.1
7,2018,273.8,143
8,2018,240.5,148.6
9,2018,132.3,149.8
10,2018,70.33,150.1
11,2018,23.6,150.2
12,2018,15.4,152.8
1,2019,16.3,156.8
2,2019,22.5,157
3,2019,28,157.2
4,2019,40.52,157.9
5,2019,82.2,157.7
6,2019,155.7,158.1
7,2019,273.8,158
8,2019,240.5,158.6
9,2019,132.3,158.8
10,2019,70.33,159.1
11,2019,23.6,159.2
12,2019,15.4,159.8
1,2020,16.3,157.8
2,2020,22.5,157
3,2020,28,156.2
4,2020,40.52,156.9
5,2020,82.2,155.7
6,2020,155.7,155.1
7,2020,273.8,154
8,2020,240.5,154.6
9,2020,132.3,153.8
10,2020,70.33,152.1
11,2020,23.6,152.2
12,2020,15.4,152.8
1,2021,16.3,155.8
2,2021,22.5,156
3,2021,28,156.2
4,2021,40.52,157.9
5,2021,82.2,157.7
6,2021,155.7,158.1
7,2021,273.8,158
8,2021,240.5,159.6
9,2021,132.3,159.8
10,2021,70.33,160.1
11,2021,23.6,160.2
12,2021,15.4,160.8
